WAVE_INDEX	NODE_ID	HPG_STATUS	HAPG_STATUS	DECISION	TERMINAL_REASON
6	U03-0000000002_S03-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000002_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000002_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000002_S03-0000000004	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000002_S03-0000000005	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000002_S03-0000000006	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000002_S03-0000000007	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000000	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000004	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000005	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000006	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000003_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000000	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000004	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000005	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000006	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000004_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000000	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000004	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000005	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000006	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000005_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000000	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000004	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000005	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000006	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000006_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000000	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000001	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000004	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000005	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000006	H_PG_INVALID_NO_SIGNED_CHART	H_APG_NOT_ELIGIBLE	SPLIT_S	-
6	U03-0000000007_S03-0000000007	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	SPLIT_S	-
7	U03-0000000000_S04-0000000000	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	UNRESOLVED	WAVE_LIMIT
7	U03-0000000000_S04-0000000001	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	UNRESOLVED	WAVE_LIMIT
7	U03-0000000000_S04-0000000002	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	UNRESOLVED	WAVE_LIMIT
7	U03-0000000000_S04-0000000003	H_PG_CAPD_SET	H_APG_NOT_ELIGIBLE	UNRESOLVED	WAVE_LIMIT
