WAVE_INDEX	NODE_ID	HPG_ELAPSED_MS	HAPG_ELAPSED_MS
6	U03-0000000003_S03-0000000005	5805	0
6	U03-0000000003_S03-0000000006	5802	0
6	U03-0000000003_S03-0000000007	5846	0
6	U03-0000000004_S03-0000000000	5710	0
6	U03-0000000004_S03-0000000001	5710	0
6	U03-0000000004_S03-0000000002	5720	0
6	U03-0000000004_S03-0000000003	5712	0
6	U03-0000000004_S03-0000000004	5944	0
6	U03-0000000004_S03-0000000005	5978	0
6	U03-0000000004_S03-0000000006	5727	0
6	U03-0000000004_S03-0000000007	5717	0
6	U03-0000000005_S03-0000000000	5938	0
6	U03-0000000005_S03-0000000001	5714	0
6	U03-0000000005_S03-0000000002	5712	0
6	U03-0000000005_S03-0000000003	5711	0
6	U03-0000000005_S03-0000000004	5919	0
6	U03-0000000005_S03-0000000005	5909	0
6	U03-0000000005_S03-0000000006	5706	0
6	U03-0000000005_S03-0000000007	5701	0
6	U03-0000000006_S03-0000000000	5924	0
6	U03-0000000006_S03-0000000001	5704	0
6	U03-0000000006_S03-0000000002	5691	0
6	U03-0000000006_S03-0000000003	5688	0
6	U03-0000000006_S03-0000000004	5937	0
6	U03-0000000006_S03-0000000005	5918	0
6	U03-0000000006_S03-0000000006	5923	0
6	U03-0000000006_S03-0000000007	5712	0
6	U03-0000000007_S03-0000000000	5926	0
6	U03-0000000007_S03-0000000001	5892	0
6	U03-0000000007_S03-0000000002	5710	0
6	U03-0000000007_S03-0000000003	5695	0
6	U03-0000000007_S03-0000000004	5721	0
6	U03-0000000007_S03-0000000005	5937	0
6	U03-0000000007_S03-0000000006	5954	0
6	U03-0000000007_S03-0000000007	5720	0
7	U03-0000000000_S04-0000000000	5775	0
7	U03-0000000000_S04-0000000001	5845	0
7	U03-0000000000_S04-0000000002	5863	0
7	U03-0000000000_S04-0000000003	5844	0
7	U03-0000000000_S04-0000000004	5762	0
7	U03-0000000000_S04-0000000005	5784	0
7	U03-0000000000_S04-0000000006	5842	0
7	U03-0000000000_S04-0000000007	5859	0
7	U03-0000000000_S04-0000000008	5860	0
7	U03-0000000000_S04-0000000009	5773	0
7	U03-0000000000_S04-0000000010	5872	0
