model	seed	site	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
O-SSM	33333	OLIN	34	44.117647	50.0	30.612245	65.263158	0.32595525	22.317644	0.831177
O-SSM	33333	PITT	56	44.642857	45.019157	44.198007	49.16986	0.29976996	17.245809	1.174131
O-SSM	44444	OHSU	10	70.0	43.75	41.176471	56.25	0.18820278	61.24314	1.081768
O-SSM	44444	OLIN	34	64.705882	64.210526	64.210526	66.666667	0.23902829	14.371394	0.819716
O-SSM	44444	PITT	56	46.428571	46.998723	45.3125	45.59387	0.29963614	17.691404	1.147587
O-SSM	44567	OHSU	10	20.0	50.0	16.666667	31.25	0.44685538	53.23177	1.054619
O-SSM	44567	OLIN	34	44.117647	50.0	30.612245	67.719298	0.2898602	12.264671	0.812264
O-SSM	44567	PITT	56	51.785714	53.065134	45.513514	49.553001	0.29633976	18.085536	1.113314
O-SSM	54321	OHSU	10	60.0	56.25	52.380952	62.5	0.24063573	45.47719	1.188448
O-SSM	54321	OLIN	34	44.117647	49.298246	34.549139	29.473684	0.28803818	5.714279	0.803518
O-SSM	54321	PITT	56	53.571429	54.916986	46.783626	52.362708	0.34819959	31.210537	1.281427
O-SSM	55555	OHSU	10	30.0	56.25	29.292929	50.0	0.33740786	43.63845	1.258893
O-SSM	55555	OLIN	34	41.176471	44.561404	37.728938	32.631579	0.29503538	15.253035	0.846301
O-SSM	55555	PITT	56	50.0	50.191571	49.936143	50.319285	0.30887158	27.417434	1.072834
O-SSM	66666	OHSU	10	60.0	37.5	37.5	68.75	0.19349405	49.83513	1.129551
O-SSM	66666	OLIN	34	38.235294	37.017544	36.870027	30.877193	0.28061234	14.138974	0.789159
O-SSM	66666	PITT	56	53.571429	54.789272	48.221906	43.039591	0.35806844	28.144371	1.223746
O-SSM	67890	OHSU	10	40.0	43.75	37.5	56.25	0.27301322	51.01676	1.206268
O-SSM	67890	OLIN	34	64.705882	62.807018	62.637363	68.070175	0.22827467	13.422938	0.785728
O-SSM	67890	PITT	56	50.0	51.085568	45.555556	50.957854	0.30079716	20.767837	1.206472
O-SSM	77777	OHSU	10	20.0	50.0	16.666667	62.5	0.33558629	42.44178	0.774998
O-SSM	77777	OLIN	34	44.117647	50.0	30.612245	65.263158	0.2602268	11.294826	0.775601
O-SSM	77777	PITT	56	53.571429	55.0447	45.098039	54.278416	0.33197478	29.49103	1.088922
O-SSM	77889	OHSU	10	70.0	62.5	60.0	68.75	0.21014496	64.7086	1.21406
O-SSM	77889	OLIN	34	61.764706	62.982456	61.731602	66.666667	0.24055673	16.9954	0.791379
O-SSM	77889	PITT	56	50.0	51.340996	42.690058	53.128991	0.33904622	28.657648	1.092335
O-SSM	88888	OHSU	10	20.0	50.0	16.666667	62.5	0.52089711	60.30816	1.192467
O-SSM	88888	OLIN	34	61.764706	61.578947	61.46469	60.701754	0.23953787	12.838006	0.816247
O-SSM	88888	PITT	56	53.571429	52.234994	45.098039	49.553001	0.26071694	13.924698	1.063201
O-SSM	99001	OHSU	10	20.0	50.0	16.666667	68.75	0.4981043	58.5783	1.085166
O-SSM	99001	OLIN	34	55.882353	50.0	35.849057	36.140351	0.27027599	14.377679	0.782717
O-SSM	99001	PITT	56	53.571429	55.0447	45.098039	46.871009	0.34139461	33.167023	1.178591
O-SSM	99887	OHSU	10	70.0	62.5	60.0	75.0	0.18579243	71.96324	1.342186
O-SSM	99887	OLIN	34	44.117647	50.0	30.612245	64.561404	0.30913845	17.827035	0.81827
O-SSM	99887	PITT	56	51.785714	53.065134	45.513514	41.507024	0.3550081	24.831923	1.0811
