source,target,weight
nasilje,vojna,0.1052631578947368
nasprotnik,tekma,0.15
navajati,povedati,0.0625
navajati,sprejemati,0.0625
navajati,vir,0.1875
navijač,gledalec,0.1052631578947368
navijač,nogomet,0.1052631578947368
navijač,tekma,0.1052631578947368
navijač,šport,0.1052631578947368
načrtovati,potovanje,0.0909090909090909
negativno,mnenje,0.1052631578947368
negativno,ocena,0.1052631578947368
negativno,pozitivno,0.1578947368421052
negativno,slabo,0.1052631578947368
nekoč,preteklost,0.1578947368421052
nevarnost,nesreča,0.1
nevarnost,smrt,0.1
nevarnost,strah,0.15
noga,prst,0.1052631578947368
nogomet,gol,0.1034482758620689
nogomet,žoga,0.5862068965517241
normalen,človek,0.1052631578947368
novica,časopis,0.35
noč,dan,0.3
noč,tema,0.3
nujno,pomoč,0.074074074074074
objekt,hiša,0.1363636363636363
objekt,predmet,0.0909090909090909
objekt,stavba,0.2272727272727272
oblačilo,hlače,0.1
obramba,vojska,0.15
obraz,izraz,0.1
obseg,pas,0.2
obseg,velikost,0.1
obveznost,služba,0.1052631578947368
obveznost,šola,0.1578947368421052
občinstvo,gledališče,0.1
občinstvo,ljudje,0.1
občinstvo,predstava,0.15
ocenjevati,ocena,0.2
ocenjevati,znanje,0.1
ocenjevati,šola,0.1
oddelek,bolnica,0.1
oddelek,šola,0.1
oder,gledališče,0.2105263157894736
odhod,domov,0.1052631578947368
odhod,prihod,0.1052631578947368
odigrati,šport,0.1
oditi,zapustiti,0.1052631578947368
odlično,ocena,0.1052631578947368
okus,dober,0.1
okus,hrana,0.2
okus,jezik,0.25
olimpijski,igra,0.0909090909090909
olimpijski,šport,0.0909090909090909
opaziti,gledati,0.0952380952380952
opaziti,pozornost,0.1428571428571428
operacija,bolečina,0.1904761904761904
operacija,bolnica,0.0952380952380952
operacija,zdravnik,0.0952380952380952
organ,srce,0.4736842105263157
orožje,vojna,0.1578947368421052
osnova,šola,0.1764705882352941
osrednji,dogodek,0.1111111111111111
papir,list,0.2105263157894736
parlament,država,0.1
parlament,politika,0.2
partner,ljubezen,0.2105263157894736
partner,sodelavec,0.1052631578947368
pas,avto,0.1
pas,hlače,0.35
pes,žival,0.3157894736842105
pesem,glasba,0.1
petek,dan,0.1052631578947368
pijača,voda,0.1904761904761904
pisanje,pismo,0.1
pismo,pošta,0.1428571428571428
ples,glasba,0.0952380952380952
ples,veselje,0.1904761904761904
ples,zabava,0.0952380952380952
pobuda,ideja,0.125
pobuda,zakon,0.0625
poiskati,telefon,0.0666666666666666
pojasnjevati,razložiti,0.074074074074074
pojasnjevati,snov,0.1111111111111111
poklic,delo,0.3333333333333333
poklic,služba,0.3333333333333333
poletje,sonce,0.2
poletni,poletje,0.1052631578947368
poletni,čas,0.1052631578947368
politik,parlament,0.1
politik,predsednik,0.1
pomen,beseda,0.1875
pomen,bistvo,0.0625
pomen,ljubezen,0.0625
pomeriti,hlače,0.1052631578947368
ponujati,denar,0.2
ponujati,hrana,0.08
ponujati,hrano,0.08
poraba,denar,0.1052631578947368
poraz,izguba,0.1578947368421052
poraz,žalost,0.1578947368421052
potovanje,morje,0.1
potovanje,pot,0.1
povezava,internet,0.1052631578947368
pozitivno,dobro,0.15
pozitivno,mnenje,0.1
pozitivno,negativno,0.2
počutiti,dobro,0.1
počutiti,slabo,0.1
počutiti,varno,0.1
poškodba,bolečina,0.1578947368421052
pošta,pismo,0.4736842105263157
pravilo,zakon,0.1666666666666666
prebivalec,državljan,0.1111111111111111
predmet,šola,0.1052631578947368
predstavitev,ime,0.15
predstavitev,šola,0.15
pregled,zdravnik,0.2631578947368421
premagati,nasprotnik,0.1052631578947368
premagati,strah,0.1052631578947368
premoženje,denar,0.1666666666666666
premoženje,hiša,0.1111111111111111
prenos,računalnik,0.1052631578947368
prenos,televizija,0.1052631578947368
prepričanje,mnenje,0.1052631578947368
presenečenje,darilo,0.3333333333333333
presenečenje,veselje,0.1904761904761904
presenečenje,zabava,0.1428571428571428
prevoz,avto,0.4444444444444444
prevoz,avtobus,0.2222222222222222
preživeti,hrana,0.1
preživeti,kriza,0.1
pridobiti,znanje,0.1111111111111111
prihod,domov,0.1052631578947368
prihod,odhod,0.1578947368421052
prihod,vlak,0.1052631578947368
prijeten,dan,0.1
prijeten,človek,0.15
prispevati,denar,0.2105263157894736
privoščiti,denar,0.1
privoščiti,veselje,0.1
priznati,poraz,0.1111111111111111
priznati,povedati,0.1111111111111111
priznati,resnica,0.1111111111111111
prodati,avto,0.1666666666666666
prodati,denar,0.1111111111111111
prodati,hiša,0.1111111111111111
profesor,fakulteta,0.1111111111111111
profesor,učitelj,0.1111111111111111
proga,vlak,0.15
proizvajalec,tovarna,0.2
proizvodnja,delo,0.1578947368421052
proizvodnja,industrija,0.1052631578947368
proizvodnja,izdelava,0.1052631578947368
proizvodnja,tovarna,0.3684210526315789
prost,dan,0.1111111111111111
prst,zemlja,0.3888888888888889
rastlina,zelena,0.1666666666666666
razložiti,snov,0.1052631578947368
razložiti,učitelj,0.1578947368421052
razmerje,ljubezen,0.15
razmerje,partner,0.15
razmišljati,misel,0.1111111111111111
razpis,služba,0.1
razpis,šola,0.1
računalnik,delo,0.1052631578947368
računalnik,internet,0.1052631578947368
redek,izjemen,0.0625
redek,las,0.0625
redek,snov,0.0625
regija,država,0.1
regija,slovenija,0.1
reka,voda,0.35
reševanje,pomoč,0.1578947368421052
rob,konec,0.1666666666666666
rob,miza,0.1111111111111111
rob,nevarnost,0.1111111111111111
rok,ime,0.1052631578947368
sanja,ime,0.25
sejem,knjige,0.1052631578947368
sekunda,čas,0.2631578947368421
serija,televizija,0.1052631578947368
sestanek,služba,0.15
severni,južni,0.1052631578947368
slabo,dobro,0.3157894736842105
smrt,konec,0.1923076923076923
snov,material,0.2777777777777778
snov,šola,0.1111111111111111
sodelavec,kolega,0.2777777777777778
sodelavec,prijatelj,0.1111111111111111
sodelavec,služba,0.2222222222222222
soden,dan,0.1875
soden,sodišče,0.1875
sodnik,sodišče,0.35
sodobni,ples,0.1
sodobni,svet,0.1
sonce,poletje,0.0952380952380952
spodnji,dom,0.1111111111111111
spodnji,zgornji,0.1666666666666666
spomin,igra,0.12
spraševati,vprašanje,0.1578947368421052
spraševati,zanimanje,0.1052631578947368
spraševati,šola,0.1052631578947368
srce,ljubezen,0.1666666666666666
srce,organ,0.1666666666666666
sreda,dan,0.15
srečati,prijatelj,0.238095238095238
srečen,vesel,0.4210526315789473
srečen,človek,0.1052631578947368
stavba,dom,0.1
stavba,hiša,0.35
stik,telefon,0.1
strah,duh,0.1052631578947368
stroj,naprava,0.1052631578947368
strokovnjak,znanost,0.1111111111111111
svet,zemlja,0.3157894736842105
svež,veter,0.1904761904761904
svež,zrak,0.238095238095238
tamkajšnji,ljudje,0.0952380952380952
tedaj,nekoč,0.2222222222222222
tedaj,zdaj,0.1666666666666666
tehnologija,računalnik,0.35
tehnologija,telefon,0.1
tekmec,nasprotnik,0.15
tekmec,tekmovanje,0.1
tekmec,šport,0.1
televizija,film,0.1
televizija,tv,0.15
tema,noč,0.4210526315789473
tema,strah,0.1052631578947368
temeljiti,osnova,0.1578947368421052
teža,kilogram,0.1578947368421052
tiskoven,delo,0.0625
tiskoven,konferenca,0.25
tiskoven,papir,0.0625
topel,vroč,0.1052631578947368
tovarna,delo,0.15
tovarna,industrija,0.15
tovarna,proizvodnja,0.1
tožba,kazen,0.1
tožba,sodišče,0.25
tožba,sodnik,0.1
tradicionalen,ples,0.0689655172413793
tretjina,del,0.1
tretjina,matematika,0.1
truditi,delo,0.1111111111111111
turizem,ljudje,0.1111111111111111
turizem,potovanje,0.1111111111111111
ugoden,prijeten,0.15
ugotovitev,ideja,0.1764705882352941
umetnost,galerija,0.0952380952380952
umetnost,glasba,0.0952380952380952
umetnost,slika,0.0952380952380952
unija,združenje,0.1052631578947368
univerza,fakulteta,0.1666666666666666
univerza,znanje,0.1111111111111111
univerza,šola,0.1111111111111111
univerza,študij,0.1111111111111111
ustanova,hiša,0.1052631578947368
ustanova,institucija,0.1052631578947368
ustanova,stavba,0.1578947368421052
ustanova,šola,0.1052631578947368
ustava,slovenija,0.1052631578947368
ustvariti,narediti,0.1111111111111111
ustvariti,umetnost,0.1111111111111111
ustvariti,življenje,0.1111111111111111
uvrstitev,tekmovanje,0.1578947368421052
učenec,dijak,0.1111111111111111
učenec,učitelj,0.1666666666666666
učenec,šola,0.3333333333333333
učitelj,profesor,0.1052631578947368
učitelj,šola,0.2105263157894736
varno,dom,0.1
varno,pot,0.2
varnost,avto,0.0689655172413793
varnosten,pas,0.1176470588235294
varnosten,varnost,0.1176470588235294
vas,mesto,0.1578947368421052
vesel,srečen,0.1379310344827586
veselje,žalost,0.1
večer,noč,0.1052631578947368
večer,tema,0.1052631578947368
viden,človek,0.1
vložiti,denar,0.2105263157894736
vojak,vojna,0.1
vojak,vojska,0.2
vojska,orožje,0.1
vojska,vojak,0.15
voznik,avto,0.0769230769230769
voznik,avtobus,0.0769230769230769
vprašati,vprašanje,0.1052631578947368
vprašati,zanimanje,0.1052631578947368
vratar,poklic,0.1052631578947368
vratar,vrata,0.1578947368421052
vreme,lepo,0.1052631578947368
vreme,sonce,0.1578947368421052
vstop,vrata,0.1176470588235294
včerajšnji,dan,0.2105263157894736
včerajšnji,dogodek,0.1052631578947368
včerajšnji,časopis,0.1052631578947368
všeč,fant,0.1052631578947368
všeč,glasba,0.1052631578947368
všeč,ljubezen,0.1052631578947368
zabava,glasba,0.1176470588235294
zabava,ples,0.1764705882352941
zabava,veselje,0.1176470588235294
zanimanje,interes,0.5
zapor,kazen,0.1052631578947368
zaprta,cesta,0.0689655172413793
zaprta,vrata,0.4827586206896552
zapustiti,dom,0.1052631578947368
zapustiti,oditi,0.3157894736842105
zasedba,glasba,0.1
zaslon,telefon,0.1052631578947368
zaslon,tv,0.1578947368421052
zaupati,prijatelj,0.2105263157894736
zavarovanje,avto,0.1578947368421052
zavarovanje,denar,0.1052631578947368
zavarovanje,zdravje,0.1052631578947368
zaščita,obramba,0.0714285714285714
zaščita,varnost,0.1428571428571428
zdravje,bolezen,0.1052631578947368
zdravje,dobro,0.1052631578947368
zdravje,zdravnik,0.1052631578947368
zdravljenje,bolezen,0.12
zdravljenje,bolnica,0.12
zdravljenje,bolnišnica,0.08
združenje,unija,0.1052631578947368
zemlja,prst,0.25
zgornji,dom,0.1052631578947368
zgornji,spodnji,0.2105263157894736
zmagovalec,šport,0.0952380952380952
znamka,pismo,0.25
znamka,pošta,0.1
znanje,šola,0.1578947368421052
zrak,veter,0.0909090909090909
zrak,čist,0.0909090909090909
zvezda,nebo,0.1666666666666666
zvezda,noč,0.1111111111111111
časopis,delo,0.1052631578947368
čelo,glasba,0.1052631578947368
čelo,obraz,0.1578947368421052
čist,zrak,0.1052631578947368
članek,novica,0.0952380952380952
članek,časopis,0.3333333333333333
človeški,človek,0.1
čutiti,bolečina,0.1111111111111111
čutiti,ljubezen,0.2777777777777778
šport,gibanje,0.1578947368421052
športnik,šport,0.15
študij,univerza,0.1578947368421052
žival,pes,0.2631578947368421
žival,človek,0.1052631578947368
žoga,igra,0.1052631578947368
žoga,nogomet,0.3157894736842105
žrtev,nasilje,0.1052631578947368
žrtev,nesreča,0.1052631578947368
žrtev,smrt,0.1578947368421052
žrtev,zločin,0.1052631578947368
