LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET
D4	U07-0000000105_S08-0000000175	160	9	15	NA	NA
D4	U07-0000000106_S08-0000000162	163	10	2	NA	NA
D4	U07-0000000106_S08-0000000163	164	10	3	NA	NA
D4	U07-0000000106_S08-0000000164	165	10	4	NA	NA
D4	U07-0000000106_S08-0000000165	166	10	5	NA	NA
D4	U07-0000000106_S08-0000000166	167	10	6	NA	NA
D4	U07-0000000106_S08-0000000167	168	10	7	NA	NA
D4	U07-0000000106_S08-0000000168	169	10	8	NA	NA
D4	U07-0000000106_S08-0000000169	170	10	9	NA	NA
D4	U07-0000000106_S08-0000000170	171	10	10	NA	NA
D4	U07-0000000106_S08-0000000171	172	10	11	NA	NA
D4	U07-0000000106_S08-0000000172	173	10	12	NA	NA
D4	U07-0000000106_S08-0000000173	174	10	13	NA	NA
D4	U07-0000000106_S08-0000000174	175	10	14	NA	NA
D4	U07-0000000106_S08-0000000175	176	10	15	NA	NA
D4	U07-0000000107_S08-0000000162	179	11	2	NA	NA
D4	U07-0000000107_S08-0000000163	180	11	3	NA	NA
D4	U07-0000000107_S08-0000000164	181	11	4	NA	NA
D4	U07-0000000107_S08-0000000165	182	11	5	NA	NA
D4	U07-0000000107_S08-0000000166	183	11	6	NA	NA
D4	U07-0000000107_S08-0000000167	184	11	7	NA	NA
D4	U07-0000000107_S08-0000000168	185	11	8	NA	NA
D4	U07-0000000107_S08-0000000169	186	11	9	NA	NA
D4	U07-0000000107_S08-0000000170	187	11	10	NA	NA
D4	U07-0000000107_S08-0000000171	188	11	11	NA	NA
D4	U07-0000000107_S08-0000000172	189	11	12	NA	NA
D4	U07-0000000107_S08-0000000173	190	11	13	NA	NA
D4	U07-0000000107_S08-0000000174	191	11	14	NA	NA
D4	U07-0000000107_S08-0000000175	192	11	15	NA	NA
D4	U07-0000000108_S08-0000000163	196	12	3	NA	NA
D4	U07-0000000108_S08-0000000164	197	12	4	NA	NA
D4	U07-0000000108_S08-0000000165	198	12	5	NA	NA
D4	U07-0000000108_S08-0000000166	199	12	6	NA	NA
D4	U07-0000000108_S08-0000000167	200	12	7	NA	NA
D4	U07-0000000108_S08-0000000168	201	12	8	NA	NA
D4	U07-0000000108_S08-0000000169	202	12	9	NA	NA
D4	U07-0000000108_S08-0000000170	203	12	10	NA	NA
D4	U07-0000000108_S08-0000000171	204	12	11	NA	NA
D4	U07-0000000108_S08-0000000172	205	12	12	NA	NA
D4	U07-0000000108_S08-0000000173	206	12	13	NA	NA
D4	U07-0000000108_S08-0000000174	207	12	14	NA	NA
D4	U07-0000000108_S08-0000000175	208	12	15	NA	NA
D4	U07-0000000109_S08-0000000163	212	13	3	NA	NA
D4	U07-0000000109_S08-0000000164	213	13	4	NA	NA
D4	U07-0000000109_S08-0000000165	214	13	5	NA	NA
D4	U07-0000000109_S08-0000000166	215	13	6	NA	NA
D4	U07-0000000109_S08-0000000167	216	13	7	NA	NA
D4	U07-0000000109_S08-0000000168	217	13	8	NA	NA
D4	U07-0000000109_S08-0000000169	218	13	9	NA	NA
D4	U07-0000000109_S08-0000000170	219	13	10	NA	NA
D4	U07-0000000109_S08-0000000171	220	13	11	NA	NA
D4	U07-0000000109_S08-0000000172	221	13	12	NA	NA
D4	U07-0000000109_S08-0000000173	222	13	13	NA	NA
D4	U07-0000000109_S08-0000000174	223	13	14	NA	NA
D4	U07-0000000109_S08-0000000175	224	13	15	NA	NA
