CELL_INDEX	CHILD_U_OFFSET	CHILD_S_OFFSET	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
47	2	14	U07-0000000098_S08-0000000174	7	98	8	174	d2cb3f4511615032914cc195a73a0c2dbfa23a566459fb2ab6a148322c77d418
48	2	15	U07-0000000098_S08-0000000175	7	98	8	175	ed6c3c2e9c36b2c38c1ac4f266dc1e8eb7a0378f4a4275d45972b5b7e3104ab1
49	3	0	U07-0000000099_S08-0000000160	7	99	8	160	9408797e2e6105d988e8a8964b5020094e4e7e0af771732c72322d5407f8c409
50	3	1	U07-0000000099_S08-0000000161	7	99	8	161	34265e54407c6cfe3a76f9e8b86c96b6a7fc7a01d864a191c2125aee55788157
51	3	2	U07-0000000099_S08-0000000162	7	99	8	162	a2f1edc1cafefb6f052b9e06b53ddb9d7242512595d16f91ff42754897002a20
52	3	3	U07-0000000099_S08-0000000163	7	99	8	163	a47b22a193deb96b294105995e5edf4ebfeb88d45fbc638e7256cbac6ed83338
53	3	4	U07-0000000099_S08-0000000164	7	99	8	164	736e8f8625d37b72d9b8e8d955fa50eb01e2a263566a952447eaaeedbf1b9c46
54	3	5	U07-0000000099_S08-0000000165	7	99	8	165	7623e1462dc703320bb03aa343a9b73cea7be9bae7d9e5b969ef59f7041c2e0f
55	3	6	U07-0000000099_S08-0000000166	7	99	8	166	9317d71e440057198d67801bc2a4354eb8e9a1fddbadf36d6b8a49dab7d927f5
56	3	7	U07-0000000099_S08-0000000167	7	99	8	167	e94b57adf412a4e6d996cb8fde2ae7381f60277b3679beea7cb917d45f839c29
57	3	8	U07-0000000099_S08-0000000168	7	99	8	168	1335bedf82c58300302d1739b35941938ca0995e56965f489dbb21539c04299b
58	3	9	U07-0000000099_S08-0000000169	7	99	8	169	69643aa7bdda7f076ff6c75904c3d24b12c062c006665872982ae64f78b1d297
59	3	10	U07-0000000099_S08-0000000170	7	99	8	170	1f72aaed81f8fb839222cf1008a67ce49fa27ef74f36fbe57781a6559ba07a7b
60	3	11	U07-0000000099_S08-0000000171	7	99	8	171	d460fc56163874f8054f78be51e33abfe08f640dc901632a1661cfa00e3e98b7
61	3	12	U07-0000000099_S08-0000000172	7	99	8	172	f19e9022ae8839f06446d5b8ab6a9beae0cd02da52dbb16167706e233d0dfda6
62	3	13	U07-0000000099_S08-0000000173	7	99	8	173	f5b2b42db973aea092721fdc5bf012f2a6eb489aa5ccb967c0380dcf976bd2c4
63	3	14	U07-0000000099_S08-0000000174	7	99	8	174	4ee381fd7ed4e8aa388f5e459ab0e7db9809675e4c94e366e9f4c3a9d9500831
64	3	15	U07-0000000099_S08-0000000175	7	99	8	175	819935da14e464f8e8fa28cc1b3c3bc1b4ee485fd4d53c685627c2bcab2801e8
65	4	0	U07-0000000100_S08-0000000160	7	100	8	160	19b983901a383d145fffd4932be24999755f48a0d059f6ba130ae36ed61aa29f
66	4	1	U07-0000000100_S08-0000000161	7	100	8	161	ad2b2ef9eab5c7cb4a5ab6189a80721a830c1e5f206eaacfea03981001bb4aab
67	4	2	U07-0000000100_S08-0000000162	7	100	8	162	f7c45f7ec625807ab4f1c08d2652f5f92cbfc859611083e24b05d78c8c0fca59
68	4	3	U07-0000000100_S08-0000000163	7	100	8	163	e3ec05a667a13085aae8940400f9f529cfcda902487101a2b7f148a57d78b028
69	4	4	U07-0000000100_S08-0000000164	7	100	8	164	ec52c7f0ea803b9877e240226a1ec69e7399feeb90e0121a0f0199367e095cb7
70	4	5	U07-0000000100_S08-0000000165	7	100	8	165	3e510cdb8d67aa10cc08b04c0c12343bfa26b11ea1d41d0c280d824a1850cd02
71	4	6	U07-0000000100_S08-0000000166	7	100	8	166	614ad759fbbd796dc787b0a8d4aa2a44c3e9fee22fb41b6fbf499cef84510c5a
72	4	7	U07-0000000100_S08-0000000167	7	100	8	167	c6d4644f5d6353c8df01e0aa7a4cb70268b215d846a5534a73283d4ddb560406
73	4	8	U07-0000000100_S08-0000000168	7	100	8	168	5d8b8e60927ba1861100ed94d349a7954c9fa632eab1abce52c7dd222db9edf0
74	4	9	U07-0000000100_S08-0000000169	7	100	8	169	2b10e92ba9b335b30cea8c427d87872041a9d610fb71819666c1ef69e099fdbd
75	4	10	U07-0000000100_S08-0000000170	7	100	8	170	1076f6f3687a8fcb44fcd91faebded8a015559fa9269ec99cdff6aca9dd40fa5
76	4	11	U07-0000000100_S08-0000000171	7	100	8	171	5a48bd3de661e30e1f7d5062f1401f6e280e5ad944cc27027e5703117a1c6771
77	4	12	U07-0000000100_S08-0000000172	7	100	8	172	f65c1c7c679be654f951a98161d03b8509efc274a648127f15c60e45bcc9bdaf
78	4	13	U07-0000000100_S08-0000000173	7	100	8	173	9592f4e6d574b860fcc88d5150a47649b39adb04d5a06ff2b692b78ad79363f0
79	4	14	U07-0000000100_S08-0000000174	7	100	8	174	42f4508223b8cdbc8ec3dc5d8d532bf9df626015bcb5678d4fac0204eefb324f
80	4	15	U07-0000000100_S08-0000000175	7	100	8	175	f8f7439235456a0c8ca854b18394ce9b887e79957ad56053037df149ccabb8ce
81	5	0	U07-0000000101_S08-0000000160	7	101	8	160	d0a3fd8c680f01653b0ef4ea65deb2497eef2590ac1bd3c2b305e0b7591e0456
82	5	1	U07-0000000101_S08-0000000161	7	101	8	161	12bf3eb6e93aab3d9e457a9027ca02c1c9bdb153f051dd2090c9bada6c1fa631
83	5	2	U07-0000000101_S08-0000000162	7	101	8	162	f115984ad256cfcb13aeda1649c18ce7e8421f26e5f4c2067660fe574c472ae7
84	5	3	U07-0000000101_S08-0000000163	7	101	8	163	e2cf638f44b983fa13e0a192d0e312242636b0b0fa206691c3c4e04c71bf88f5
85	5	4	U07-0000000101_S08-0000000164	7	101	8	164	4f1f96e1a143201ed8eacea168cac9121395abac5cef6d5b09d4114382c4cdbf
86	5	5	U07-0000000101_S08-0000000165	7	101	8	165	56e93d4c0f9f6669a439887e65922e97d5cfb573d6e3651302889968b8896181
87	5	6	U07-0000000101_S08-0000000166	7	101	8	166	5d940daa8b3d08062411e04327990619c550aa1154bef0e4ffac93e943f714c6
88	5	7	U07-0000000101_S08-0000000167	7	101	8	167	db0c920447389080937b4e8bee774f0ff81add5cf95a08e45ef99355daa2f044
89	5	8	U07-0000000101_S08-0000000168	7	101	8	168	3368ad50fd1a435da59ae9dc41189bc3ed286b7a9a6c0c85bfab993dcb6751c6
90	5	9	U07-0000000101_S08-0000000169	7	101	8	169	a241b3d53f37c57ae3456a8c5ecd5d394cfd7386421e1bece96f3d1858a24067
91	5	10	U07-0000000101_S08-0000000170	7	101	8	170	170354e8d9d16b616f4f0a90d046babfd5f61cbf283afb18d3d754196aa534f7
92	5	11	U07-0000000101_S08-0000000171	7	101	8	171	4db263c9f50300d6a2431c993514467aee3de810808a80387f1a727a3012f62d
93	5	12	U07-0000000101_S08-0000000172	7	101	8	172	14af756874c18562f7c8b01af7443bce3f2a9a15c8ae2fcc1c933630dee3fdd6
94	5	13	U07-0000000101_S08-0000000173	7	101	8	173	8f7fb55a7146bf17359487cb73fac738be6caf1bcdd7572d8de7f0dc1d3e3aec
95	5	14	U07-0000000101_S08-0000000174	7	101	8	174	81b9e94cffa94aa28b5b1b20f0083d9314b6118a3eb18192ad9cb7c366ceb3c7
96	5	15	U07-0000000101_S08-0000000175	7	101	8	175	8fe2dbd1038901ce8d335620591d733ce73639e8fb5d03a81f6298ca28430e5c
97	6	0	U07-0000000102_S08-0000000160	7	102	8	160	8f6efde556c7e097326959655031c138a868fe5ca7c4043104228a11333c814c
98	6	1	U07-0000000102_S08-0000000161	7	102	8	161	daabf92099f3a3897d34fe9596b8e90c4be2dbd5cf0619902ac0de5bb8553f80
99	6	2	U07-0000000102_S08-0000000162	7	102	8	162	f3aab5a558a84789b586a78b8dfff1f3af461190236cbc97ffb2d12fcbddc774
100	6	3	U07-0000000102_S08-0000000163	7	102	8	163	6eeb7c1fa0b93992f1667eed0c49d0bca79c37abcf279293a3a84c016c6d96c4
101	6	4	U07-0000000102_S08-0000000164	7	102	8	164	5b9f65328e4473f87716c121ff977dd61ef3a1b14b7eb4a679a8f0e1d8c540c0
102	6	5	U07-0000000102_S08-0000000165	7	102	8	165	173f2049fbd0663e667f2a3339a069f1b978db03df75dcca136bdcdea4741042
103	6	6	U07-0000000102_S08-0000000166	7	102	8	166	0943ead0951be1cae739f2fa5b6dffa3a0fd15d50c55dac3d83c52d2caf3daf1
104	6	7	U07-0000000102_S08-0000000167	7	102	8	167	4aca458f6e375bb68b01a0f147e35f3b22d8cc28f10f176a8c7f96779d7c7815
105	6	8	U07-0000000102_S08-0000000168	7	102	8	168	690a8a6d9c77ec37a75ff4f6072f4fb65a2ce096e704fd90bbc731c247a4abc2
106	6	9	U07-0000000102_S08-0000000169	7	102	8	169	c631ae8ac57a54b71c5359edbae344e0865bf0655c938fa4740933fac6013396
107	6	10	U07-0000000102_S08-0000000170	7	102	8	170	d4ff2945598f52ba5e868f6d3377a9c7de1d85aa31f0a410ea70a48e049629f9
108	6	11	U07-0000000102_S08-0000000171	7	102	8	171	77b2c1fc91e51f2ac083362c1b90751df6d878092b68f0d3bb6c5ddc0636a9ac
109	6	12	U07-0000000102_S08-0000000172	7	102	8	172	be141e7dcad177c5005afcf4b54be4f49408165c095f8b29fee2f7eb3b6af727
110	6	13	U07-0000000102_S08-0000000173	7	102	8	173	a8d5e04d1bb80134b8fc825bdb519d9889814a901d3325a3835ed3b2bfdf28c7
111	6	14	U07-0000000102_S08-0000000174	7	102	8	174	78006deda6dd4ba8c0e3569267474d34a58b16632053fe30341d5890e717f13b
112	6	15	U07-0000000102_S08-0000000175	7	102	8	175	50bb3e252fae2a65db4d03830329b511662d31c51063d5b9ad50c4732cbcfd70
113	7	0	U07-0000000103_S08-0000000160	7	103	8	160	c3f1b3862da511ef3a61b283accf89b5c3e9758229f7eea3c90c86fd4c30f9a8
114	7	1	U07-0000000103_S08-0000000161	7	103	8	161	15c7dc4853d75ab1ab4381a1afba1295623d7211d3e8e726ced872274cde6cfa
115	7	2	U07-0000000103_S08-0000000162	7	103	8	162	161c9d1cab7243a11bbc4d6b86b40715c8ffc830469071ef315c54294c2ac96d
116	7	3	U07-0000000103_S08-0000000163	7	103	8	163	c052c7cd7672dcfdc9063268ca1dc04d578084a9a9de4ce98c18aa847462c9e2
117	7	4	U07-0000000103_S08-0000000164	7	103	8	164	c1604d3a74e8e2870c0ecf808a6275004b8eb1db7cbe54d38686ec7cb0c96ec9
118	7	5	U07-0000000103_S08-0000000165	7	103	8	165	848c37d8802fd14cb8e601c3852a1fa31dba5765d3ca091045582903fa7aa76b
119	7	6	U07-0000000103_S08-0000000166	7	103	8	166	920e771c665ee76593cbb5e9fc48f2b27fa314a7e0b6891a842f081d46a1cd6b
120	7	7	U07-0000000103_S08-0000000167	7	103	8	167	e0ab5b71ec5a146894cf9b94cc0b634ce7438c6c18532e6a6f26f288d28a5885
121	7	8	U07-0000000103_S08-0000000168	7	103	8	168	30579919cd6e04bb575557d2210957cfdc19f1aa565668f34339310c802c05a8
122	7	9	U07-0000000103_S08-0000000169	7	103	8	169	dd5566329b7436b4c50ddb965c9f065a55d794d41a49a9743524e65509832891
123	7	10	U07-0000000103_S08-0000000170	7	103	8	170	9e2477b8db5bbcb85f576b0bbb9f9b9e21fe96747e1f0f586f9f91bb57eeedee
124	7	11	U07-0000000103_S08-0000000171	7	103	8	171	6e9c4a1a296be7a48564de35fdacaa5014d93e9b2cd8f559834c98a2dad99ac6
125	7	12	U07-0000000103_S08-0000000172	7	103	8	172	72ecd8cff0f78b7dc8f068ed2f2e5c5303903f321eb216264c17bebc03643dfd
126	7	13	U07-0000000103_S08-0000000173	7	103	8	173	6e6f79f0842d241433867d66ee18aae46d32b3ead5ba323969e158ff89fefdd8
127	7	14	U07-0000000103_S08-0000000174	7	103	8	174	474ea17274d8790f7a87180bc6f15287a850135c60fd7829aac234c065a060b7
128	7	15	U07-0000000103_S08-0000000175	7	103	8	175	143cbf8d26145ca58207c72ccc31ff845d19d0f812be5938b69e4d3d1ca49002
129	8	0	U07-0000000104_S08-0000000160	7	104	8	160	82c1c10001062a356437af38230ec4c5639c01c8ff2ed94b52f71dace76ec1cf
130	8	1	U07-0000000104_S08-0000000161	7	104	8	161	f0f8a126c115c3ecaaf9490439929c8a93c6bfbb9bf67c64e867264338adb41d
131	8	2	U07-0000000104_S08-0000000162	7	104	8	162	b12981ea7ab0b14fc38f1e88131a6dd4546d873e56f0a865596b32a58d2d4f98
132	8	3	U07-0000000104_S08-0000000163	7	104	8	163	7fa809fdee691a2c51a699454bb4a788b543688ad19cc51f233743ee0ef748d9
133	8	4	U07-0000000104_S08-0000000164	7	104	8	164	a134b1e12fd572356c3b9ffd1d3156e108c02145da3d72e908050992edd92b10
134	8	5	U07-0000000104_S08-0000000165	7	104	8	165	b1dc56a8c89bdcb6889752adccf8d187ddb5b2c7a1a1f336d073bb63246df9a4
135	8	6	U07-0000000104_S08-0000000166	7	104	8	166	840a5af85448b361f0bdc407d5e6a7cabbb0b4b79df95fc17876a4f8ff792b19
136	8	7	U07-0000000104_S08-0000000167	7	104	8	167	85b07072143c5de392f8ddebc9822f317cb014902141ed00e3e7abcae6507997
137	8	8	U07-0000000104_S08-0000000168	7	104	8	168	512865aeafd6f971d2ed8516f2ef36860f3e8e7e9ff31237c5e4b34494f1ee22
138	8	9	U07-0000000104_S08-0000000169	7	104	8	169	509ef6c338a97664d697059b85f4e92d9df1dc2bf4ed3cfcb0311b13d8d677c7
139	8	10	U07-0000000104_S08-0000000170	7	104	8	170	3e21f407742ccdeacbd10fb73a9c74afdbb5dc1251c9072daec5554d891ba7fb
140	8	11	U07-0000000104_S08-0000000171	7	104	8	171	f5c6f117161561b762988eab59395855f4b0351a59199be22e6fb5938a7d3034
141	8	12	U07-0000000104_S08-0000000172	7	104	8	172	2f289dddde6298bed56469d379c17205712fd94938174016054a3bd9cc2e69d8
142	8	13	U07-0000000104_S08-0000000173	7	104	8	173	11e42d45eb373cd39085baa7a8f4021e23672e57b29850eba67dbe792379f5fe
143	8	14	U07-0000000104_S08-0000000174	7	104	8	174	237e90a89647e0e1807766d88625060e2b92c51ddea5519063abedc86d89cef8
144	8	15	U07-0000000104_S08-0000000175	7	104	8	175	2f2db2f0e16151843804401cf0ff4ce24d6346b1f4d9031aeb6e921f0f28c1d1
145	9	0	U07-0000000105_S08-0000000160	7	105	8	160	c3261b112600d79d31c36e00c66023bf8038952846f9fec1e922f586285b09ea
146	9	1	U07-0000000105_S08-0000000161	7	105	8	161	c3ecd47e7d9bdade0a963df73f53ac7a2cce91d0d63d66b5f5869eff57da9b95
147	9	2	U07-0000000105_S08-0000000162	7	105	8	162	26eb8042cc623114c90650452d91e679ead196e138713b95d94eb155594c58de
148	9	3	U07-0000000105_S08-0000000163	7	105	8	163	feb3d7ca5e90a3167cfcbf6dcfb215ce228888507e5fded0a44e0c827cedeac8
149	9	4	U07-0000000105_S08-0000000164	7	105	8	164	a95835fbcee8d0c26fd3e63d240c62eac69f546046d79bea08abee896b583438
150	9	5	U07-0000000105_S08-0000000165	7	105	8	165	0ca68012fd25b31568886d2aba816210a6f0c4d4e11e6c3ec2e71c1e04a13f96
151	9	6	U07-0000000105_S08-0000000166	7	105	8	166	7d8c87f463817cdd6e8065b2d22b441573295e15b72a75b81a3370576cd89b6a
152	9	7	U07-0000000105_S08-0000000167	7	105	8	167	d40ecfafbb8e14d8057dcfdf54d74e80d03999924afbbd1300b533be77c1bc00
153	9	8	U07-0000000105_S08-0000000168	7	105	8	168	c707211089be60f70303bdafe85fd6f3d95afe078800cc7e5afcd502fb8a56f5
154	9	9	U07-0000000105_S08-0000000169	7	105	8	169	e1648053f4e3f83a885ac356ae15829fa2de078db433353086412a4bf25c7b48
155	9	10	U07-0000000105_S08-0000000170	7	105	8	170	d2060a84b0445e3572b3600ea6cf0922be98f690957dfb503a1ef13534314eee
156	9	11	U07-0000000105_S08-0000000171	7	105	8	171	2635d17f392d5d1048d9d6b50b2d819a609e14ea2977929f3242f7311cdcefb4
157	9	12	U07-0000000105_S08-0000000172	7	105	8	172	b4427e25d3f3e170e4e278285209640918689de5e943f661ff1985622f10b0aa
158	9	13	U07-0000000105_S08-0000000173	7	105	8	173	d0bdef8abc32c891bb46feac9af6ff084ca1465bad4cd5c47970ed3c5b90d371
159	9	14	U07-0000000105_S08-0000000174	7	105	8	174	cb53485fe77b91f090d6ec95a5d57cb47d8cd6c7f04cce788c0d6be69016ad3a
