ATTEMPT_INDEX	PARENT_V7_ORDINAL	CHECKPOINT_ROLE	DEPTH_DELTA	CHILD_U_OFFSET	CHILD_S_OFFSET	NODE_ID	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	C1_ORIENTATION_UNRESOLVED	C2_HULL_ORIENTATION_UNRESOLVED	EVENT1_CHARTS_CERTIFIED	EVENT2_CHARTS_CERTIFIED	HOMOGENEOUS_COMPUTATION_VALID	CERTIFICATE_PASS	PROBE_PASS
29	23	MASKED_TARGET	4	0	14	U07-0000000096_S08-0000000174	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17461	a29cde5185c400fabece8a032d49071f3096f2f9919e9db3d437da884952bf5b	d127a29f0a3e0e68a7d661f9d721a94cb1064dfc01762002f7d1c0b15551ea4a	18a45c910623332db81197345b175bee37cf8369e62481db2d8b2d7c3b5277fa	b50192796a8fb0fbb530a4da9e7a1f23bc1e283c83fa0cc8f784998c18e0c5ee	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
30	23	MASKED_TARGET	4	0	14	U07-0000000096_S08-0000000174	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16717	a29cde5185c400fabece8a032d49071f3096f2f9919e9db3d437da884952bf5b	d127a29f0a3e0e68a7d661f9d721a94cb1064dfc01762002f7d1c0b15551ea4a	4d44127840ab17f69e08e62c3bac6af9052184c44bb7592f28117fe17417ac63	80d58a97b942081322103474c1894c3555b8378ded587ea42455a4a38a045b86	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
31	23	MASKED_TARGET	4	0	15	U07-0000000096_S08-0000000175	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17405	d3749ea15205898b8d54177424cd59f6fdf1ef001122376332787cb61243df1a	e591e2eb336763e0b571ab9e058c1e6ad1fd9bd544cc7e5d16ec46c47d9c0812	d693bbc444370200cbd545620c08f4ebdc33fd9c681492b03524e42a4256414c	09705364a302ae2ab7a44eb345dc4a4773128a3780c0627a58fae08208941ecb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
32	23	MASKED_TARGET	4	0	15	U07-0000000096_S08-0000000175	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16751	d3749ea15205898b8d54177424cd59f6fdf1ef001122376332787cb61243df1a	e591e2eb336763e0b571ab9e058c1e6ad1fd9bd544cc7e5d16ec46c47d9c0812	6023cca19ed06c8ed659c495c5aaee386eb0973608e667d62a8d6224ede62062	6b22f28ea34185969a53f685b485128b28651afa367f7f17d77eadcdd9822532	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
33	23	MASKED_TARGET	4	1	0	U07-0000000097_S08-0000000160	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17410	b323c0d9d9335b8fbddc68cfbf6d849d3e089a052cf3e88ef8551492f5034c3f	49d94f59560e853bed07833cfeb8baede83985158f57bd75a53ba53cab564aef	4c4dd0a8fc75e20ea646aee4d82d2ffb979f6fa540e164440419712faa95134f	47f759b4f620ceee41e9ffc30fa3967e4456609a929f4e4c5b2b8948f08633fc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
34	23	MASKED_TARGET	4	1	0	U07-0000000097_S08-0000000160	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16726	b323c0d9d9335b8fbddc68cfbf6d849d3e089a052cf3e88ef8551492f5034c3f	49d94f59560e853bed07833cfeb8baede83985158f57bd75a53ba53cab564aef	966443ae49dadee3825e87b977042ddb5af65e377fc06c1d542bd3729273b3db	50bce1185fe6c64fda4c7aaa25d1391bdaca2fcc9c06c11f4040fd8c69752195	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
35	23	MASKED_TARGET	4	1	1	U07-0000000097_S08-0000000161	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17416	f2d5985264287d33181c227cc2e7d2872f8dd7f4450bc605d8e09b41a39b1269	0cedbeea3a773034c0d66da13b57d948b7c41c6576d39a3c57ff9ced2be776fb	0ba47802132d4d72c1b67c15243b4142935b00130ecd511f63afc99b0abb2fb9	1c8fe7857b44091f014a24986a89d3d291def3fc218c68177d033345314955f1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
36	23	MASKED_TARGET	4	1	1	U07-0000000097_S08-0000000161	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16686	f2d5985264287d33181c227cc2e7d2872f8dd7f4450bc605d8e09b41a39b1269	0cedbeea3a773034c0d66da13b57d948b7c41c6576d39a3c57ff9ced2be776fb	5f460421895476b2a2081b00622f53168be517c0ce41fe6b00dd267225a4fb26	8a80ce01de38253f423dae9dcadc99280575daccca09ebe770587cb4348d38e2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
37	23	MASKED_TARGET	4	1	2	U07-0000000097_S08-0000000162	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17450	a26419aef1393bfc1be5e51b82f88de1a1e535a8fbeaf7e7187c9efa38ddc368	fd2abf2732bbb975e16f9320e8ab3a843764cf64482bb1b7d82644264a4d42ff	45dfa37de4f7d255a9248ab56e52ea72c610c250e5175282e8c61e13254330d6	3d0104e3f8e71df915f3538d40a2388d85d8e3282fb1761e0a0483e331bd3e86	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
38	23	MASKED_TARGET	4	1	2	U07-0000000097_S08-0000000162	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16669	a26419aef1393bfc1be5e51b82f88de1a1e535a8fbeaf7e7187c9efa38ddc368	fd2abf2732bbb975e16f9320e8ab3a843764cf64482bb1b7d82644264a4d42ff	53973571b77fd08c8da264c8d3b1786af116498415f1651d6324ae1458989064	6937051958a9235089854f0dadde693a2e3698b0ec39e13ac351fdb7aa0a4800	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
