file	rc	class	elapsed_s
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_replay_preflight_v76_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_response_envelope_v70_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step5_taylor2_time_slab_containment_v80_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_center_artifact_v50_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_completed_candidate_bundle_v55_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_enclosure_candidate_bundle_v53_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_enclosure_projection_artifact_v52_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_enclosure_validator_guard_v59_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_proof_trace_skeleton_v56_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_radius_artifact_v51_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_remainder_obligation_v54_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_repaired_projection_inclusion_validator_v61_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_replay_executor_v58_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_replay_preflight_v57_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_taylor2_flowpipe_link_preflight_v62_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_taylor2_flowpipe_obligation_v65_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_taylor2_local_containment_obligation_v63_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_taylor2_local_flowpipe_proof_v66_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_step6_taylor2_time_slab_containment_v64_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_step6_z_margin_repair_v60_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_taylor2_adaptive_step_decision_v46_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_taylor2_remainder_v44_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_taylor2_response_envelope_v49_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_taylor2_step_policy_v45_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_taylor2_step_request_v48_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_taylor2_step_schedule_v47_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_taylor_ball_bridge_v43_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_i256_trajectory5_step6_local_flowpipe_bridge_v67_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lorenz_i256_trajectory_v16_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_lorenz_wide_precision_ladder_v20_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_lrat_deletion_lifecycle_v28_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_pb_kernel_trace_v41_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_proof_trace_interop_v40_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_sat_frat_elaboration_v25_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_smt_alethe_micro_reconstruction_v42_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_smt_external_proof_v18_imported.sio	0	PASS	7
tests/run-pass/solver_portfolio_sota_alignment_v39_imported.sio	0	PASS	6
tests/run-pass/solver_portfolio_v16_acceptance_from_counts_imported.sio	0	PASS	5
tests/run-pass/solver_portfolio_v16_acceptance_from_entries_imported.sio	0	PASS	5
tests/run-pass/solver_portfolio_v16_acceptance_receipt_imported.sio	0	PASS	5
tests/run-pass/solver_portfolio_v16_audit_receipt_imported.sio	0	PASS	5
tests/run-pass/solver_portfolio_v16_checker_family_coverage_imported.sio	0	PASS	5
tests/run-pass/solver_portfolio_v16_coverage_imported.sio	0	PASS	5
