cardinality_erdos_scope_gate_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_colouring_manifest_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_colouring_unsat_bundle_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_erdos_scope_gate_imported.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cardinality_proof_log_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
claim_native_basic.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
causal_identified.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_deployment_validity_revocable_authority_witness.sio	1	Parse failed for module 0: 3 errors
cd_tower_seam.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_deployment_validity_revocable_authority_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cd_exact_generic_vs_concrete.sio	0	NATIVE_REFUSAL kind=empty_stub_ud2 fn=11 name=cd_one_exact reason=missing_lowered_body
cd_exact_generic_i64.sio	0	NATIVE_REFUSAL kind=empty_stub_ud2 fn=11 name=cd_one_exact reason=missing_lowered_body
clifford_spacetime.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_linear_target_monitor_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_dyadic_relational_associator_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_dyadic_relational_associator_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_dyadic_non_reduction_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_dyadic_non_reduction_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_path_conditioned_partial_identification_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_endogenous_observability_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_model_contest_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_policy_observation_associator_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_policy_state_feedback_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_model_contest_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_rebracketing_protocol_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_endogenous_observability_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_path_conditioned_partial_identification_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_policy_observation_associator_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_shift_robust_risk_transport_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_reflexive_inquiry_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_policy_state_feedback_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_arity_2.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_statistical_coverage_empirical_binding_native_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_basic.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_capture.sio	1	error[E004] in run-pass/closure_capture::main at 441..458: these types cannot be combined with this operator
closure_effect_infer.sio	1	error[E035] in run-pass/closure_effect_infer::main at 362..384: effect not declared in function signature (missing: IO) -- required by `print_val`
closure_effect_checked.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_effect_infer_auto.sio	1	error[E035] in run-pass/closure_effect_infer_auto::main at 698..711: effect not declared in function signature (missing: IO) -- required by `print_val`
clinical_statistical_coverage_empirical_binding_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_effect_transparent_hof.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_epistemic.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_escape.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_rebracketing_protocol_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_fn_ref.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
clinical_proof_carrying_reflexive_inquiry_witness.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_generic_hof.sio	1	error[E009] in run-pass/closure_generic_hof::main at 393..426: argument type does not match parameter
closure_hof.sio	1	error[E004] in run-pass/closure_hof::main at 150..156: these types cannot be combined with this operator
closure_higher_order.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_lambda_lift.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_returned.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_unrelated_linear_not_captured.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
closure_sort_by.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
compress_deflate_stored.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
compress_huffman_fixed.sio	1	  lowering-error record: total=2 hard=1
colouring_k3_lrat_tiny.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
compress_crc32.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
confidence_alias.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
confidence_gate_pass.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
complex_arithmetic.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
connectome_laplacian_eigenvectors.sio	1	error[E016] in run-pass/connectome_laplacian_eigenvectors::c8_extract_eigenvectors at 6356..6364: field initializer has wrong type
confidence_gate_test.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
covid_2020_kernel.sio	1	error[E245] in run-pass/covid_2020_kernel::covid_kernel_march_2020 at 303..326: arithmetic between two Knowledge<T> values is not supported by this compiler; the operation typechecks but has no lowering, so it would produce a wrong value or crash at runtime
contextual_keyword_idents.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
constrained_opt_test.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cross_compile_flag.sio	0	Madaros v0.80.0 -- the Sounio self-hosted compiler
cybernetic_proof.sio	1	error[E009] in run-pass/cybernetic_proof::proof_eigenform at 3975..4028: argument type does not match parameter
