# engine	madaros-linux-x86_64@ff69dae4
# trees	stdlib examples tests/run-pass
file	rc	first_error_code	error_count	parse_errors	first_error_line	all_error_codes
examples/data/frame_demo.sio	1	E137	26	0		E137x25,E001x1
examples/data/grouped_analytics_showcase.sio	0	none	0	0		
examples/data/io_demo.sio	1	E137	17	0		E137x15,E011x2
examples/data/measurement_qc_workflow.sio	0	none	0	0		
examples/data/mod_demo.sio	0	none	0	0		
examples/data/ops_demo.sio	1	E137	30	0		E137x27,E001x2,E011x1
examples/data/series_demo.sio	1	E137	42	0		E137x41,E015x1
examples/data_pipeline/main.sio	0	none	0	0		
examples/day20_tooling.sio	0	none	0	0		
examples/day21_build_system.sio	0	none	0	0		
examples/debug_profile_demo.sio	0	none	0	0		
examples/deep_psychiatry_demo.sio	1	E010	1	0		E010x1
examples/dissertation_168_polypharmacy.sio	0	none	0	0		
examples/dissertation_demo.sio	0	none	0	0	350	
examples/dissertation_hybrid_demo.sio	0	none	0	0		
examples/dissertation_interactive.sio	0	none	0	0	155	
examples/dissertation_olanzapine_demo.sio	0	none	0	0		
examples/dissertation_oral_pd_demo.sio	0	none	0	0		
examples/dissertation_pbpk_rapamycin.sio	0	none	0	0		
examples/dissertation_pgx_compile_gate_demo.sio	0	none	0	0		
examples/dissertation_plot.sio	0	none	0	0	224	
examples/dissertation_pop_pbpk_pd_demo.sio	0	none	0	0		
examples/dissertation_scenario_gate_demo.sio	1	E137	1	0		E137x1
examples/dissertation_steady_state_demo.sio	1	E008	4	0		E137x3,E008x1
examples/dissertation_steady_state_fullvd_demo.sio	1	E008	4	0		E137x3,E008x1
examples/dissertation_tirzepatide_demo.sio	0	none	0	0		
examples/dissertation_vancomycin_demo.sio	0	none	0	0		
examples/distributed_build.sio	0	none	0	0		
examples/door_e_alpha_mechanism.sio	1	E035	21	0	3111	E035x21
examples/door_f_assoc_preictal_chb02.sio	0	none	0	0	10291	
examples/door_f_assoc_preictal_chb03.sio	0	none	0	0	10291	
examples/door_f_assoc_preictal_chb05.sio	0	none	0	0	10291	
examples/door_f_assoc_preictal_chb06.sio	0	none	0	0	10291	
examples/door_f_assoc_preictal_chb10.sio	0	none	0	0	10291	
examples/drug_cascade_168_demo.sio	0	none	0	0		
examples/eeg_hessian_temporal.sio	1	E011	1	0	421	E011x1
examples/effect_demo.sio	0	none	0	0		
examples/effects.sio	0	none	0	0		
examples/effects/basic_handler_continuation.sio	0	none	0	0		
examples/effects/comprehensive_effects.sio	0	none	0	0		
examples/effects_simple.sio	0	none	0	0		
examples/eisa_cancellation_kernel.sio	0	none	0	0		
examples/ekan_ablation_suite.sio	0	none	0	0	341	
examples/ekan_advanced_ablation.sio	0	none	0	0		
examples/ekan_concrete_uci.sio	1	E035	1	0		E035x1
examples/ekan_energy_uci.sio	1	E035	1	0		E035x1
examples/ekan_final_experiments.sio	0	none	0	0		
examples/ekan_gum_vs_montecarlo.sio	0	none	0	0		
examples/ekan_knowledge.sio	0	none	0	0		
examples/ekan_regression_benchmark.sio	1	E035	1	0		E035x1
examples/ekan_regression_friedman.sio	1	E035	1	0		E035x1
examples/ekan_second_order_gum.sio	1	E035	4	0	270	E035x4
