LEAF_INDEX	LEAF_ID	X0_Q	Y0_Q	STEPS	EVENT1_TIME_Q	EVENT2_TIME_Q	X2_Q	Y2_Q	ELL2_Q	FLAGS	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD	REFERENCE_PASS
58	U07-0000000099_S08-0000000170	16592892501310	12029116197152	6744	2646968369728	7240315678592	12533567555684	7392535254533	-20281787856400	7	-2.8359742808049533e-11	-2.8359741178389689e-11	1.6296598445628975e-18	true	true
59	U07-0000000099_S08-0000000171	16590465747375	12029983199578	6744	2646971391744	7240318653376	12533566335823	7392533887414	-20281937100721	7	-2.8353472262733664e-11	-2.8353470886399869e-11	1.3763337947963581e-18	true	true
60	U07-0000000099_S08-0000000172	16588038993440	12030850202003	6744	2646974412992	7240321627456	12533565066351	7392532465087	-20282086340846	7	-2.8347202769244839e-11	-2.8347201286086681e-11	1.4831581576922692e-18	true	true
61	U07-0000000099_S08-0000000173	16585612239505	12031717204428	6744	2646977432256	7240324599744	12533563762063	7392531003838	-20282235585023	7	-2.8340933979379178e-11	-2.8340932377383339e-11	1.6019958391076985e-18	true	true
62	U07-0000000099_S08-0000000174	16583185485570	12032584206854	6744	2646980448896	7240327569856	12533562429828	7392529511226	-20282384838530	7	-2.8334665694261964e-11	-2.8334664160223051e-11	1.5340389128186325e-18	true	true
63	U07-0000000099_S08-0000000175	16580758731635	12033451209279	6744	2646983464064	7240330538688	12533561057589	7392527973285	-20282534093228	7	-2.8328398237621722e-11	-2.8328396634539013e-11	1.6030827091961534e-18	true	true
64	U07-0000000100_S08-0000000161	16614686948964	12021262429108	6744	2646953993344	7240300352704	12533774336221	7392766944782	-20280395910695	7	-2.8415412783338012e-11	-2.8415411072736668e-11	1.7106013448134608e-18	true	true
65	U07-0000000100_S08-0000000162	16612260195029	12022129431533	6744	2646957033984	7240303343680	12533773433687	7392765933352	-20280545110749	7	-2.8409136229491245e-11	-2.8409134680635266e-11	1.5488559794114447e-18	true	true
66	U07-0000000100_S08-0000000163	16609833441094	12022996433958	6744	2646960073536	7240306333632	12533772485623	7392764871439	-20280694308938	7	-2.840286062976793e-11	-2.8402858980811464e-11	1.6489564657577251e-18	true	true
67	U07-0000000100_S08-0000000164	16607406687159	12023863436384	6744	2646963110528	7240309321408	12533771509359	7392763777990	-20280843515993	7	-2.8396585548698536e-11	-2.8396583973198533e-11	1.5755000033167062e-18	true	true
68	U07-0000000100_S08-0000000165	16604979933224	12024730438809	6744	2646966145280	7240312307264	12533770502263	7392762649130	-20280992729399	7	-2.8390311080683133e-11	-2.8390309657729739e-11	1.4229533936206398e-18	true	true
69	U07-0000000100_S08-0000000166	16602553179289	12025597441235	6744	2646969178752	7240315291968	12533769451409	7392761471812	-20281141942448	7	-2.8384037510876718e-11	-2.8384036034338342e-11	1.4765383766528494e-18	true	true
70	U07-0000000100_S08-0000000167	16600126425354	12026464443660	6744	2646972209984	7240318274752	12533768369312	7392760259056	-20281291162235	7	-2.8377764545455877e-11	-2.8377763102957589e-11	1.4424982885526812e-18	true	true
71	U07-0000000100_S08-0000000168	16597699671419	12027331446085	6744	2646975239872	7240321256320	12533767244688	7392758998618	-20281440381164	7	-2.8371492482773172e-11	-2.8371490863520727e-11	1.6192524455038628e-18	true	true
72	U07-0000000100_S08-0000000169	16595272917484	12028198448511	6744	2646978266944	7240324235520	12533766094863	7392757710315	-20281589611235	7	-2.8365220850438199e-11	-2.8365219315960997e-11	1.534477202221012e-18	true	true
73	U07-0000000100_S08-0000000170	16592846163549	12029065450936	6744	2646981292160	7240327212992	12533764908001	7392756381289	-20281738844144	7	-2.8358949970125572e-11	-2.8358948460211627e-11	1.5099139446842791e-18	true	true
74	U07-0000000100_S08-0000000171	16590419409614	12029932453362	6744	2646984315840	7240330189248	12533763682396	7392755007228	-20281888079465	7	-2.835267988150726e-11	-2.8352678296205838e-11	1.5853014214912119e-18	true	true
75	U07-0000000100_S08-0000000172	16587992655679	12030799455787	6744	2646987336384	7240333162752	12533762433915	7392753608792	-20282037326415	7	-2.8346410184414376e-11	-2.8346408823876855e-11	1.3605375208416936e-18	true	true
