LEAF_INDEX	STEPS	EVENT1_TIME	EVENT2_TIME	X2	Y2	ELL2	DETERMINANT	DECIMAL_DETERMINANT	ABS_DELTA	INSIDE_BOTH_CAPD
107	6744	2.4074499608832411	6.5850710454396904	11.39974713995889	6.7240698098121356	-18.446587823380469	-2.8332289010907769e-11	-2.8332287505268794e-11	1.5056389751122028e-18	true
108	6744	2.4074527039192617	6.5850737462169491	11.399745919918132	6.7240684428916211	-18.4467235710963	-2.8326021734110358e-11	-2.8326020363546145e-11	1.370564213254975e-18	true
109	6744	2.4074258825276047	6.5850462790112942	11.399939579559941	6.7242854303276545	-18.44477896902481	-2.841303091842425e-11	-2.8413029390004927e-11	1.52841932238676e-18	true
110	6744	2.4074286491377279	6.5850490003358573	11.399938781851233	6.7242845367209156	-18.444914664469252	-2.8406754667929512e-11	-2.8406753381865482e-11	1.2860640301440179e-18	true
111	6744	2.4074314156314358	6.5850517214857973	11.399937932716966	6.724283585232115	-18.445050351891041	-2.8400479657705508e-11	-2.8400478066004187e-11	1.5917013211217089e-18	true
112	6744	2.4074341792729683	6.5850544401910156	11.399937064586084	6.724282612263778	-18.445186051055316	-2.839420499526439e-11	-2.8394203442354305e-11	1.5529100852976209e-18	true
113	6744	2.4074369410518557	6.5850571572082117	11.3999361656779	6.7242816054367722	-18.445321754760698	-2.8387931000332882e-11	-2.8387929510849103e-11	1.4894837790886984e-18	true
114	6744	2.4074397009680979	6.5850598727120087	11.399935235676821	6.7242805633350144	-18.445457463180901	-2.8381657677485269e-11	-2.8381656271421827e-11	1.4060634414933381e-18	true
115	6744	2.4074424601276405	6.5850625875755213	11.399934261187809	6.7242794711964962	-18.445593168236883	-2.8375385390853627e-11	-2.8375383724005729e-11	1.6668478977311069e-18	true
116	6744	2.4074452166096307	6.5850653000525199	11.399933264872743	6.7242783552337642	-18.445728883270931	-2.8369113526036489e-11	-2.8369111868534045e-11	1.6575024434822255e-18	true
117	6744	2.4074479720438831	6.5850680116564035	11.399932229096521	6.7242771940946113	-18.445864597363652	-2.8362842581845139e-11	-2.8362840704940011e-11	1.8769051280878462e-18	true
118	6744	2.407450724800583	6.5850707208155654	11.399931171695243	6.7242760097333303	-18.446000321841893	-2.8356572043642862e-11	-2.8356570233156847e-11	1.8104860145680473e-18	true
119	6744	2.4074534751707688	6.5850734280538745	11.399930090112321	6.724274797342332	-18.446136054971248	-2.8350301998306601e-11	-2.8350300453117775e-11	1.5451888260308814e-18	true
