id	iri	label
198	http://purl.obolibrary.org/obo/GO_0000315	organellar large ribosomal subunit
199	http://purl.obolibrary.org/obo/GO_0000316	sulfite transmembrane transport
200	http://purl.obolibrary.org/obo/GO_0000319	sulfite transmembrane transporter activity
201	http://purl.obolibrary.org/obo/GO_0000320	re-entry into mitotic cell cycle
202	http://purl.obolibrary.org/obo/GO_0000321	re-entry into mitotic cell cycle after pheromone arrest
203	http://purl.obolibrary.org/obo/GO_0000322	storage vacuole
204	http://purl.obolibrary.org/obo/GO_0000323	lytic vacuole
205	http://purl.obolibrary.org/obo/GO_0000324	fungal-type vacuole
206	http://purl.obolibrary.org/obo/GO_0000325	plant-type vacuole
207	http://purl.obolibrary.org/obo/GO_0000326	protein storage vacuole
208	http://purl.obolibrary.org/obo/GO_0000327	lytic vacuole within protein storage vacuole
209	http://purl.obolibrary.org/obo/GO_0000328	fungal-type vacuole lumen
210	http://purl.obolibrary.org/obo/GO_0000329	fungal-type vacuole membrane
211	http://purl.obolibrary.org/obo/GO_0000330	plant-type vacuole lumen
212	http://purl.obolibrary.org/obo/GO_0000331	contractile vacuole
213	http://purl.obolibrary.org/obo/GO_0000332	template for synthesis of G-rich strand of telomere DNA activity
214	http://purl.obolibrary.org/obo/GO_0000333	telomerase catalytic core complex
215	http://purl.obolibrary.org/obo/GO_0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
216	http://purl.obolibrary.org/obo/GO_0000338	protein deneddylation
217	http://purl.obolibrary.org/obo/GO_0000339	RNA cap binding
218	http://purl.obolibrary.org/obo/GO_0000340	RNA 7-methylguanosine cap binding
219	http://purl.obolibrary.org/obo/GO_0000341	RNA trimethylguanosine cap binding
220	http://purl.obolibrary.org/obo/GO_0000342	RNA cap 4 binding
221	http://purl.obolibrary.org/obo/GO_0000343	plastid-encoded plastid RNA polymerase complex A
222	http://purl.obolibrary.org/obo/GO_0000344	plastid-encoded plastid RNA polymerase complex B
223	http://purl.obolibrary.org/obo/GO_0000345	cytosolic DNA-directed RNA polymerase complex
224	http://purl.obolibrary.org/obo/GO_0000346	transcription export complex
225	http://purl.obolibrary.org/obo/GO_0000347	THO complex
226	http://purl.obolibrary.org/obo/GO_0000348	mRNA branch site recognition
227	http://purl.obolibrary.org/obo/GO_0000349	generation of catalytic spliceosome for first transesterification step
228	http://purl.obolibrary.org/obo/GO_0000350	generation of catalytic spliceosome for second transesterification step
229	http://purl.obolibrary.org/obo/GO_0000352	trans assembly of SL-containing precatalytic spliceosome
230	http://purl.obolibrary.org/obo/GO_0000353	formation of quadruple SL/U4/U5/U6 snRNP
