sample	kpc_before_rc	kpc_after_rc	kpc_before_cpu	kpc_after_cpu	kpc_accepted	thread_before_rc	thread_after_rc	thread_cycles_delta	thread_instructions_delta	absolute_time_delta	uptime_raw_delta
140	-1	-1	-1	-1	0	88	88	1337	4612	3	125
141	-1	-1	-1	-1	0	88	88	1378	4611	3	125
142	-1	-1	-1	-1	0	88	88	1374	4611	3	125
143	-1	-1	-1	-1	0	88	88	1439	4612	3	125
144	-1	-1	-1	-1	0	88	88	1358	4612	3	125
145	-1	-1	-1	-1	0	88	88	1363	4612	3	125
146	-1	-1	-1	-1	0	88	88	1325	4612	3	83
147	-1	-1	-1	-1	0	88	88	1334	4612	3	125
148	-1	-1	-1	-1	0	88	88	1345	4612	3	84
149	-1	-1	-1	-1	0	88	88	1340	4612	3	83
150	-1	-1	-1	-1	0	88	88	1351	4611	2	83
151	-1	-1	-1	-1	0	88	88	1449	4612	3	83
152	-1	-1	-1	-1	0	88	88	1326	4612	2	83
153	-1	-1	-1	-1	0	88	88	1498	4611	3	83
154	-1	-1	-1	-1	0	88	88	1352	4611	2	83
155	-1	-1	-1	-1	0	88	88	1340	4612	3	84
156	-1	-1	-1	-1	0	88	88	1328	4612	2	83
157	-1	-1	-1	-1	0	88	88	1363	4611	3	83
158	-1	-1	-1	-1	0	88	88	1349	4611	2	83
159	-1	-1	-1	-1	0	88	88	1333	4612	3	125
160	-1	-1	-1	-1	0	88	88	1705	4612	3	125
161	-1	-1	-1	-1	0	88	88	1351	4611	3	83
162	-1	-1	-1	-1	0	88	88	1455	4612	3	125
163	-1	-1	-1	-1	0	88	88	1361	4612	3	83
164	-1	-1	-1	-1	0	88	88	1504	4611	2	84
165	-1	-1	-1	-1	0	88	88	1357	4611	3	125
166	-1	-1	-1	-1	0	88	88	1364	4612	3	83
167	-1	-1	-1	-1	0	88	88	1328	4612	3	125
168	-1	-1	-1	-1	0	88	88	1367	4611	3	125
169	-1	-1	-1	-1	0	88	88	1352	4611	3	83
170	-1	-1	-1	-1	0	88	88	1339	4611	3	84
171	-1	-1	-1	-1	0	88	88	1348	4611	3	125
172	-1	-1	-1	-1	0	88	88	1369	4611	3	83
173	-1	-1	-1	-1	0	88	88	1335	4611	2	84
174	-1	-1	-1	-1	0	88	88	2798	4612	2	84
175	-1	-1	-1	-1	0	88	88	1507	4612	4	125
176	-1	-1	-1	-1	0	88	88	1352	4612	3	84
177	-1	-1	-1	-1	0	88	88	1340	4612	3	83
178	-1	-1	-1	-1	0	88	88	1335	4612	3	125
179	-1	-1	-1	-1	0	88	88	1331	4612	3	125
180	-1	-1	-1	-1	0	88	88	1322	4612	3	83
181	-1	-1	-1	-1	0	88	88	1331	4611	3	83
182	-1	-1	-1	-1	0	88	88	1337	4611	3	84
183	-1	-1	-1	-1	0	88	88	1329	4611	2	83
184	-1	-1	-1	-1	0	88	88	1345	4611	3	125
185	-1	-1	-1	-1	0	88	88	1351	4612	3	83
186	-1	-1	-1	-1	0	88	88	1357	4612	2	83
187	-1	-1	-1	-1	0	88	88	1340	4612	4	125
188	-1	-1	-1	-1	0	88	88	1323	4612	3	125
189	-1	-1	-1	-1	0	88	88	2020	4623	3	83
190	-1	-1	-1	-1	0	88	88	1339	4612	3	125
191	-1	-1	-1	-1	0	88	88	1333	4612	3	83
192	-1	-1	-1	-1	0	88	88	1322	4612	2	83
193	-1	-1	-1	-1	0	88	88	1529	4611	2	84
194	-1	-1	-1	-1	0	88	88	1354	4611	3	125
195	-1	-1	-1	-1	0	88	88	1345	4611	3	125
196	-1	-1	-1	-1	0	88	88	1364	4612	2	84
197	-1	-1	-1	-1	0	88	88	1331	4612	2	83
198	-1	-1	-1	-1	0	88	88	1361	4611	3	83
199	-1	-1	-1	-1	0	88	88	1331	4611	3	83
200	-1	-1	-1	-1	0	88	88	1337	4611	3	125
201	-1	-1	-1	-1	0	88	88	1354	4612	3	83
202	-1	-1	-1	-1	0	88	88	1359	4612	3	84
203	-1	-1	-1	-1	0	88	88	1507	4611	3	125
204	-1	-1	-1	-1	0	88	88	1335	4611	2	84
205	-1	-1	-1	-1	0	88	88	1346	4611	3	125
206	-1	-1	-1	-1	0	88	88	1392	4612	3	125
207	-1	-1	-1	-1	0	88	88	1377	4612	3	125
208	-1	-1	-1	-1	0	88	88	1328	4612	3	83
209	-1	-1	-1	-1	0	88	88	1386	4611	3	125
210	-1	-1	-1	-1	0	88	88	1331	4611	3	83
211	-1	-1	-1	-1	0	88	88	1950	4612	4	84
212	-1	-1	-1	-1	0	88	88	1372	4612	3	84
213	-1	-1	-1	-1	0	88	88	1338	4612	3	83
214	-1	-1	-1	-1	0	88	88	1337	4612	3	84
215	-1	-1	-1	-1	0	88	88	1327	4612	2	83
216	-1	-1	-1	-1	0	88	88	1332	4612	3	83
217	-1	-1	-1	-1	0	88	88	1329	4612	3	83
218	-1	-1	-1	-1	0	88	88	1335	4612	3	84
219	-1	-1	-1	-1	0	88	88	1325	4612	3	84
220	-1	-1	-1	-1	0	88	88	1328	4612	3	83
221	-1	-1	-1	-1	0	88	88	1332	4612	3	83
222	-1	-1	-1	-1	0	88	88	1333	4612	3	84
223	-1	-1	-1	-1	0	88	88	1337	4612	3	84
224	-1	-1	-1	-1	0	88	88	1334	4612	3	83
225	-1	-1	-1	-1	0	88	88	1331	4612	3	83
226	-1	-1	-1	-1	0	88	88	1329	4612	2	83
227	-1	-1	-1	-1	0	88	88	1328	4612	3	125
228	-1	-1	-1	-1	0	88	88	1326	4612	3	125
