STEP	TIME_START_RAW	TIME_END_RAW	STEP_RAW	STEP_BITS	CENTER_X_RAW	CENTER_Y_RAW	CENTER_W_RAW	CENTER_ELL_RAW	RADIUS_RAW	LOCAL_RADIUS_RAW	MU_RAW	MU_H_RAW	AMPLIFICATION_RAW	PICARD_ITERATIONS	CONTRACTION_RAW	BEFORE_SIGN	AFTER_SIGN	EVENT_INDEX
24	563958359038647099875871705991313779571695996963565600768	588478287692501321609605258425718726509595822918503235584	24519928653854221733733552434404946937899825954937634816	8	148992811862112350764943623756367368293514204328035644251002	95150927547199669020269969347247383609902300396623664593517	131347247313470210845008665156319258585137611056652882372791	-6249524452277753124903430552368783194233523363520873990969	314496105	69501629	238445683741701577888792245143407731172322641090263022034715	931428452116021788628094707591436449891885316758839929824	7281183954770384739598269166669085392170728639015719778154	77	1291906481154819013807996824551336490029609669007888237457	1	1	0
25	588478287692501321609605258425718726509595822918503235584	612998216346355543343338810860123673447495648873440870400	24519928653854221733733552434404946937899825954937634816	8	151421172861237309977462274502244121083921928176112280735627	95894252182816829803323906890154095386707478506108263114216	139201232752156978578223326735966042255435000933327261668342	-6598360073991821877943344718057161549014391846177573971339	451939514	86419317	241602882489509889787376980353762464807429159141194102009012	943761259724648006981941329506884628154020152895289460973	7295503574925052828050618208619104020959061833261339965538	79	1296766220822390413741517328701717818694818233931319459884	1	1	0
26	612998216346355543343338810860123673447495648873440870400	637518145000209765077072363294528620385395474828378505216	24519928653854221733733552434404946937899825954937634816	8	153806970969234304083428055561774266350567579791742501074033	96549366511652126953905857018013493193193510034514637118245	147233811618121451543876325883434931566679055139099057789963	-6956039735986056474895458369264880316196021992665305293677	626022112	99771084	244624153957071395772402368082130070257047079719101342545746	955563101394810139735946750320820586941590155152739619320	7309233059158513549907152375599052608771492106848154671778	79	1299984853835955975131554769898691955816524072322751733990	1	1	0
27	637518145000209765077072363294528620385395474828378505216	662038073654063986810805915728933567323295300783316140032	24519928653854221733733552434404946937899825954937634816	8	156138750470822029499718054409744962155276638010850634767864	97106231117850983549276363976177288507050395170922414603908	155434505022673760263570991112197146057222019319963852383103	-7322726675148898353654933429902885250218045934987804837551	836116475	105858696	247487581882282064319812168594991000793418331867603029490267	966748366727664313749266283574183596849290358857824333947	7322269106488635940967548395455075109006974106235942086109	79	1301403511132979253557791172114621424919482302109361604391	1	1	0
28	662038073654063986810805915728933567323295300783316140032	686558002307918208544539468163338514261195126738253774848	24519928653854221733733552434404946937899825954937634816	8	158404343979269238710917689233685379366483485470175306007279	97554536217118161045994667500614809622949981666688197338934	163790701504158038727647662814126818123371221785514494709629	-7698567982291460798962368942287216626196455642059040703107	1078804862	101841357	250170315122639777628696765452355467974868899874174905260866	977227793447811631362096740048263546776831640133495723676	7334503617455265203893326794261044219325066418994213280673	79	1300861270789185210443498188897022553419675546623460895626	1	1	0
29	686558002307918208544539468163338514261195126738253774848	711077930961772430278273020597743461199094952693191409664	24519928653854221733733552434404946937899825954937634816	8	160590958253649455286933138612447989585863806071351783458292	97883817666802405320980238625599763762971218522350995877121	172287551501144683985281422922739879941260354662702007428519	-8083692113816065493670081705781452224608253037523871049184	1350227647	87748269	252648790309827564193733382334358166724395912365836118811838	986909337147763922631771024743586588767171532679047339109	7345824782759923912456302299880823484936720684186744511151	80	1298197361991996561942946412428750170986412444177639496801	1	1	0
30	711077930961772430278273020597743461199094952693191409664	735597859615626652012006573032148408136994778648129044480	24519928653854221733733552434404946937899825954937634816	8	162685288866930589915292636191140522056056566413389326285874	98083597101873658611676518048738564812906117308234415839451	180907891336558177332747050913919159140351488803227629863079	-8478206334089403481749629704919091398820354363940847579292	1662973684	80633344	254911431110779428505782621426389310248655295532169985853946	995747777776482142600713364946833243158809748172539007242	7356175318646458018384013903149184627653863483625717853352	99	1293369322095273631127967410853161893032490120435122604997	1	1	0
31	735597859615626652012006573032148408136994778648129044480	760117788269480873745740125466553355074894604603066679296	24519928653854221733733552434404946937899825954937634816	8	164673665711861490592111099660910339458305234092884628643989	98143546541984664544520057967771302172052404154360908942574	189632204448555438813363800038369350960332367719988030296509	-8882194132045215229501083527963567896372476223804059815705	2044110315	92793794	256944424083385657734715631893764603935842995155011575407709	1003689156575725225526232937085017984124386699824263966437	7365487760311391856352665790954854526962465241713329347962	99	1286323184625758457582055236782087045876083704805352657139	1	1	0
32	760117788269480873745740125466553355074894604603066679296	784637716923335095479473677900958302012794430558004314112	24519928653854221733733552434404946937899825954937634816	8	166542230394923758884868355605766382962354480079807474775475	98053676790610299340929632836111913813331894402555884857288	198438627690785159206611294899913119343167509286277654432024	-9295712664190551193918497435580364529758768931344038503708	2511580341	110412850	258704864472228038758422406111286086177192954733986337279767	1010565876844640776400087523872211274129659979429634130000	7373561255950802759996523746595799571174619565198655511972	100	1276739922373457030892281034513275475128948260853236653694	1	1	0
33	784637716923335095479473677900958302012794430558004314112	809157645577189317213207230335363248950694256512941948928	24519928653854221733733552434404946937899825954937634816	8	168277145324864674249539797214982187614065755717238296396854	97804547690653244156272934730940614429668497050163621005906	207303010193298532948985482051741259799974725295466634607838	-9718790284412499939876116825156534588830608068585108326819	3087113210	134121626	260173842699273058852243968198864531600414012957312617486786	1016304073044035386141578000776814576564117238114502412058	7380304859618862786702400354662609570189905592841260367671	63	1264555287336436475858514877247142793278869445150579229278	1	1	0
