ATTEMPT_INDEX	ORDINAL	SAMPLE_CLASS	STRATUM	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	MANIFEST_ROW_SHA256	CELL_CHALLENGE	LIOUVILLE_CARRIER	ATTEMPT_BINDING
62	21	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000004_S04-0000000008	3	4	4	8	49752d4dd68b5abf3f3e5f70822084c8cb0b1d417e2d0464013c8d76c8fd117b	3133a362bd237256d29721e86a81cbdb9518acb125d7bbba091b45623a3cd264	a999a205eacf0793bec3cff88286a787a3b1d1f539da4a79c1a120a442b06bfc	C0HORect2Set	e1e281d81622234bb1650fdd8d590451014d1f89dc6882d5ab6fd82a57dd2537
63	21	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000004_S04-0000000008	3	4	4	8	49752d4dd68b5abf3f3e5f70822084c8cb0b1d417e2d0464013c8d76c8fd117b	3133a362bd237256d29721e86a81cbdb9518acb125d7bbba091b45623a3cd264	a999a205eacf0793bec3cff88286a787a3b1d1f539da4a79c1a120a442b06bfc	C0Rect2Set	83f559ff6a71ab4134a508e3f6c6db90d783706570034d18af1ec185b647fb88
64	22	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000005_S04-0000000010	3	5	4	10	0f956569987b7ccc8d0a2673d8ae151d55e3d7722d1c4062f549d3df4796cb07	948dec8cd9e152b1de203efbd07152d807375b1091cd4b6ecfa1c4265f6f7f2b	0e98f70fae572195ad409d49aec88a4b6776ca9389cdeea969567216ee6b5f5f	C0HOTripletonSet	444643917f07775c2b077bdaf96befa6f93dd4fe7eeb61d22f2ee5da17f4e2de
65	22	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000005_S04-0000000010	3	5	4	10	0f956569987b7ccc8d0a2673d8ae151d55e3d7722d1c4062f549d3df4796cb07	948dec8cd9e152b1de203efbd07152d807375b1091cd4b6ecfa1c4265f6f7f2b	0e98f70fae572195ad409d49aec88a4b6776ca9389cdeea969567216ee6b5f5f	C0HORect2Set	d6f09b7ec78b69eb4b461454fd407bf1c494126cd374f38a00255e3e09126a1c
66	22	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000005_S04-0000000010	3	5	4	10	0f956569987b7ccc8d0a2673d8ae151d55e3d7722d1c4062f549d3df4796cb07	948dec8cd9e152b1de203efbd07152d807375b1091cd4b6ecfa1c4265f6f7f2b	0e98f70fae572195ad409d49aec88a4b6776ca9389cdeea969567216ee6b5f5f	C0Rect2Set	3c123ddfda7d1a2c78f5dcbc0babcc9e5d15db5c10398d9c4317bc005d3436bb
67	23	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000006_S04-0000000010	3	6	4	10	497ee127e6b427ce415fc230a706bb6a5827386b83bc9a949e467d9c1443ae6c	411094761b415429e2072b51868c7c62882444d96c995f933d89464e5652c399	ac7cad14f8fc7a6e75715af08fb93acd1f460e78660dc5d912c60ec58479356c	C0HOTripletonSet	e94e30e6abddc1c3821c036745cc91e78da47b97c469e01bf632c8ace50f538c
68	23	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000006_S04-0000000010	3	6	4	10	497ee127e6b427ce415fc230a706bb6a5827386b83bc9a949e467d9c1443ae6c	411094761b415429e2072b51868c7c62882444d96c995f933d89464e5652c399	ac7cad14f8fc7a6e75715af08fb93acd1f460e78660dc5d912c60ec58479356c	C0HORect2Set	83aacf3234dcc7821a230709018261e387979a332e916ef2b6cf35c8582b2c4d
69	23	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000006_S04-0000000010	3	6	4	10	497ee127e6b427ce415fc230a706bb6a5827386b83bc9a949e467d9c1443ae6c	411094761b415429e2072b51868c7c62882444d96c995f933d89464e5652c399	ac7cad14f8fc7a6e75715af08fb93acd1f460e78660dc5d912c60ec58479356c	C0Rect2Set	7cb4ad33442c671054694b0edff9f035ff395f1af7076202bdc92055db9b5291
70	24	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000007_S04-0000000008	3	7	4	8	1fb2fa648c20da8cce08294714f0329211d94c8bb7ccc26dfcd8e152d1ad7b9a	11f850bc6f7834823d4ca9067e3d16d54a35f6a4d95d31a92ca53e100e5518fd	1e4cf6cd7fa8af580c8b98a069814e797cb479434708b2ddcaea414078b22ac3	C0HOTripletonSet	6d135c098920589e5bfc7967c9a60c9315ddcae70c077bb4883d91e2f82f4548
71	24	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000007_S04-0000000008	3	7	4	8	1fb2fa648c20da8cce08294714f0329211d94c8bb7ccc26dfcd8e152d1ad7b9a	11f850bc6f7834823d4ca9067e3d16d54a35f6a4d95d31a92ca53e100e5518fd	1e4cf6cd7fa8af580c8b98a069814e797cb479434708b2ddcaea414078b22ac3	C0HORect2Set	911202c3527e13fe017f80a6584325d293eb69eca8157c1ca8a324bbed9d4500
72	24	CAPD_SET_TARGET	CAPD_U3_S4	U03-0000000007_S04-0000000008	3	7	4	8	1fb2fa648c20da8cce08294714f0329211d94c8bb7ccc26dfcd8e152d1ad7b9a	11f850bc6f7834823d4ca9067e3d16d54a35f6a4d95d31a92ca53e100e5518fd	1e4cf6cd7fa8af580c8b98a069814e797cb479434708b2ddcaea414078b22ac3	C0Rect2Set	f567e183c9af0b31b116f481212846584245a819d25dfa0eea9efdaff0dfab1a
73	25	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000001_S02-0000000000	2	1	2	0	eda219f3ac7470d2955aa4168865605c7e8e1c5423c3c17caaed710ca365252d	435f508cce77785287b427a689698750ea29b86e004e6787b70aeed85ec445c0	eafa44b2e848ca0a2a1ff04237f6ec56b50a684e90569e9fc44230301468d9a0	C0HOTripletonSet	6025b55a05e22b3616fe956a17eb511158700728f3a9dadc6396c844ed464fb4
74	25	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000001_S02-0000000000	2	1	2	0	eda219f3ac7470d2955aa4168865605c7e8e1c5423c3c17caaed710ca365252d	435f508cce77785287b427a689698750ea29b86e004e6787b70aeed85ec445c0	eafa44b2e848ca0a2a1ff04237f6ec56b50a684e90569e9fc44230301468d9a0	C0HORect2Set	951dc86946f86be8d897b7a73cfaf0027d9f66adb0bf3cd4b48f283902a65cd4
75	25	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000001_S02-0000000000	2	1	2	0	eda219f3ac7470d2955aa4168865605c7e8e1c5423c3c17caaed710ca365252d	435f508cce77785287b427a689698750ea29b86e004e6787b70aeed85ec445c0	eafa44b2e848ca0a2a1ff04237f6ec56b50a684e90569e9fc44230301468d9a0	C0Rect2Set	08add81c080b2be344a1fd7acc839c09538cf379a3464404a02062affd2492ea
76	26	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000002_S02-0000000003	2	2	2	3	4ebcd3415b1319f8461b62c131977a142745fb1040af1c16a9cef5c54d63a2a5	137bd6916d2b1c66c563bd5c372aa8dc1d313230cac28e6142bc5a501cd513ab	0a5bbda168650bbb37f6202a15517676e956fb69e5e4f67ee8bf6b12a848426f	C0HOTripletonSet	85bbca9ebc92d34c0fa356da1cd166e1b20c6421df61801f86a5aae0e3bfc77b
77	26	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000002_S02-0000000003	2	2	2	3	4ebcd3415b1319f8461b62c131977a142745fb1040af1c16a9cef5c54d63a2a5	137bd6916d2b1c66c563bd5c372aa8dc1d313230cac28e6142bc5a501cd513ab	0a5bbda168650bbb37f6202a15517676e956fb69e5e4f67ee8bf6b12a848426f	C0HORect2Set	6b01ef0a2eb7c23fa6471ba39bfb3be2e8fec4d9c9ac4af927d2127f7e96a446
78	26	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S2	U02-0000000002_S02-0000000003	2	2	2	3	4ebcd3415b1319f8461b62c131977a142745fb1040af1c16a9cef5c54d63a2a5	137bd6916d2b1c66c563bd5c372aa8dc1d313230cac28e6142bc5a501cd513ab	0a5bbda168650bbb37f6202a15517676e956fb69e5e4f67ee8bf6b12a848426f	C0Rect2Set	df6d6ac1e618d76acc7c1b6d61a94820ca6495e00567b43353ea2da58b9f0183
79	27	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000001_S03-0000000001	2	1	3	1	1cab72e2349261b9bc7849efd59dc4a9f955c54a9d1d59d6514350170f3f4619	fd240ef2d09b3be0e2344db6e233db6d0cfeb0586b67f41607f854939fc61418	97ceb920294b040f433ca4e2188920568743290eedd2a3a660ac83b64c7f39db	C0HOTripletonSet	fed8fc482ddb9c01043da029fae538fa00cdee216fd3da801f73e71360bc5a90
80	27	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000001_S03-0000000001	2	1	3	1	1cab72e2349261b9bc7849efd59dc4a9f955c54a9d1d59d6514350170f3f4619	fd240ef2d09b3be0e2344db6e233db6d0cfeb0586b67f41607f854939fc61418	97ceb920294b040f433ca4e2188920568743290eedd2a3a660ac83b64c7f39db	C0HORect2Set	3470cf444233596f8c74a9338d8a0310a8de000923386d13c29b9877cf219511
81	27	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000001_S03-0000000001	2	1	3	1	1cab72e2349261b9bc7849efd59dc4a9f955c54a9d1d59d6514350170f3f4619	fd240ef2d09b3be0e2344db6e233db6d0cfeb0586b67f41607f854939fc61418	97ceb920294b040f433ca4e2188920568743290eedd2a3a660ac83b64c7f39db	C0Rect2Set	a6c86e019fe7dc16da1bbe02d9eb539dc51eb2f1b37e2a1647f03e62711ec36f
82	28	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000002_S03-0000000004	2	2	3	4	670a9c5cb8743beeda63cbf73dd3f7862fad8c9f85b1de4436d6b2811a3cd4c2	c85e1612c45b3005580de5c43016c055d4c47128bf2c51707f03c1aa00f82feb	754f6fa2294424afc22cf1b004fab9043eda81e331b52f895a6f5b4eda4a947f	C0HOTripletonSet	54a862efb223c02df4b6358e2c4ea50f03ab1850bdd55eb2649b1f076a652361
83	28	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000002_S03-0000000004	2	2	3	4	670a9c5cb8743beeda63cbf73dd3f7862fad8c9f85b1de4436d6b2811a3cd4c2	c85e1612c45b3005580de5c43016c055d4c47128bf2c51707f03c1aa00f82feb	754f6fa2294424afc22cf1b004fab9043eda81e331b52f895a6f5b4eda4a947f	C0HORect2Set	5e25c9214a99e88f62ade8f5b268dab900e8dc1db17c13f9bb873c20a1666dc7
84	28	NO_SIGNED_CHART_CONTROL	NO_CHART_U2_S3	U02-0000000002_S03-0000000004	2	2	3	4	670a9c5cb8743beeda63cbf73dd3f7862fad8c9f85b1de4436d6b2811a3cd4c2	c85e1612c45b3005580de5c43016c055d4c47128bf2c51707f03c1aa00f82feb	754f6fa2294424afc22cf1b004fab9043eda81e331b52f895a6f5b4eda4a947f	C0Rect2Set	4ccc3a53f1cb8e806c81e8d8265886a8eabd05a328eeeceb1ff1217e2a64f7c4
