ATTEMPT_INDEX	SOURCE_CELL_INDEX	SOURCE_U_OFFSET	SOURCE_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	ORIGINAL_PARENT_DEPTH_DELTA	NODE_ID	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	C1_ORIENTATION_UNRESOLVED	C2_HULL_ORIENTATION_UNRESOLVED	EVENT1_CHARTS_CERTIFIED	EVENT2_CHARTS_CERTIFIED	HOMOGENEOUS_COMPUTATION_VALID	CERTIFICATE_PASS	PROBE_PASS
24	81	5	0	1	1	5	U08-0000000203_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16683	cdc6fb5da1556f5512a4a4292a96675e25d5df56ef5fed7a6d7fbfe99f51050c	c49e778ccc520cd24ebe3b36bd6595d0612bedf04ba5fe9041f4ca150b549454	2a8e8e9ee6d46e2c166d5fb141b9d60de25070cbc8266b0dd6c06eafbefd70e5	87d39e899ac9892ccb776179e0bd9c6358ed4a7ed799010977a00ee9b240efa1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
25	97	6	0	0	0	5	U08-0000000204_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17454	2c0cc15262b7452fc08cdbe6cf6ab603af904c281b00f9e49185f4d77f746c7a	5fd86ecf0222f9ce5b1c5d4404466971b0992f57ec5ffdad6a0778ded85b125f	a2a3325aca71789426508064f84715ef3f592df60d4a3cbb9ca2f218e5ae2750	f9f123d2bd9b9e71516ca67a4319245f40188b05fc26315ac8340c1003e5545f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
26	97	6	0	0	0	5	U08-0000000204_S09-0000000320	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16686	2c0cc15262b7452fc08cdbe6cf6ab603af904c281b00f9e49185f4d77f746c7a	5fd86ecf0222f9ce5b1c5d4404466971b0992f57ec5ffdad6a0778ded85b125f	9887d00d9a6ae5b23ae5b4fd42d1ca6aaba4aa63827dfa7c3343fa173b635fe9	469757dd8f30c621501e9e3650d71532d4c60b77525f788b718b68d5aae00451	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
27	97	6	0	0	1	5	U08-0000000204_S09-0000000321	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17406	d08b4c553b3dbea24296af6219ac5bc86e37e3facc02e603e4e5065f5eed0cc7	d4ff04c089c59c2afbb676d0292a4a8b88c91fc6b449d9254c688b940642057d	2dd226a6ea26dd7f3b001ac85bd50b1b4acf8196a9da1aa970e305592c504c19	19be586a871cf89fa93f57b41884eea4f7e03a016d00e8c852a5d150faf9f999	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
28	97	6	0	0	1	5	U08-0000000204_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16675	d08b4c553b3dbea24296af6219ac5bc86e37e3facc02e603e4e5065f5eed0cc7	d4ff04c089c59c2afbb676d0292a4a8b88c91fc6b449d9254c688b940642057d	09b906ec082290a50efa66ca843b06a33a412f56ee6c468d7cd356c2fbfe21aa	5d5a7542f9148408be4ce80ec0a7be70effce7f11c7c31be640f435dcdcdf0bc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
29	97	6	0	1	0	5	U08-0000000205_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17382	3b5878b427b76f2210674e6317e5fee78ac1f9762148607cdf95b71689d26312	598b0468cecfb3df681c7fd5835664413a557d782dc271abb6f33898b4890bed	9082a9acb806f66c1a6d86b4452339e1ad78ea832ff4153555e4d647c4f0c473	7b62f5a79a696c8af225c245f6dfd6799783c87828ba9c7eb4444b3516e3dabe	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
30	97	6	0	1	0	5	U08-0000000205_S09-0000000320	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16696	3b5878b427b76f2210674e6317e5fee78ac1f9762148607cdf95b71689d26312	598b0468cecfb3df681c7fd5835664413a557d782dc271abb6f33898b4890bed	b66ef972423ef2265a9f578b7a446c27330c59b1626d2d838a78de7b4241ad35	da666fb79d5ff77a040e9575a077c68643c428e1748cfb2208f9149f36475925	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
31	97	6	0	1	1	5	U08-0000000205_S09-0000000321	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17462	baf0cdbfa80ef678bcdad3ba2afea8943b3775442017f9be5abdc84b7cb920b3	8461002cce22deb7cd1759f097a60b9fb8a31989e079adf36b37641a0524b3ab	124a43d1f9595cf3d39d253322d5fdacec57ee1c92f5898544a60e4391cc8508	c16da8504276a245c2546b068f0643aa09cc123ca5a8d89ba54587b5f0d89013	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
32	97	6	0	1	1	5	U08-0000000205_S09-0000000321	C0Rect2Set	DESCENDANT_PROBE_PASS	0	16701	baf0cdbfa80ef678bcdad3ba2afea8943b3775442017f9be5abdc84b7cb920b3	8461002cce22deb7cd1759f097a60b9fb8a31989e079adf36b37641a0524b3ab	499f1fd6184c53f8eee9e5395c211919ca934366a51a5d5dbdb8f0ed65b22be0	4528e03ff16a807b6816a5c0024d18b87beac873549518bb32397eafc7584d3e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
33	113	7	0	0	0	5	U08-0000000206_S09-0000000320	C0HORect2Set	DESCENDANT_PROBE_PASS	0	17432	5f4f9b0e7bf8813e743da55b009d2767368d4a2cec0846fc224adff00477d6c9	46d22dbbb63f5b01291531f985ad9f51da4fee447813891a70606bebf7708d08	6c7ae8e9c0bbfc16ae60544751f5f984f253c857d98d32e15e028d085fb2797a	b39013fc53b0ba5ffef522857aa99220cc39ebb53c5a45c4937f213f840a8e55	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
