CELL_INDEX	SOURCE_CELL_INDEX	SOURCE_U_OFFSET	SOURCE_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	NODE_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256
72	210	13	1	1	1	U08-0000000219_S09-0000000323	8	219	9	323	ac36d50dbeb75ba33bbc8a1302792f7612daf29ab56d76495fd043c06a41b141
73	211	13	2	0	0	U08-0000000218_S09-0000000324	8	218	9	324	3c07cdb4cb8da9b370992619eca3483280b5af9bc9abd33bf35f91f0c2ca4d47
74	211	13	2	0	1	U08-0000000218_S09-0000000325	8	218	9	325	63c386fedc234d5b90b31ee1e5547baffca3b0d12d941d02c1962f9db03d72e2
75	211	13	2	1	0	U08-0000000219_S09-0000000324	8	219	9	324	e2d2f9ce625719e97fb1ea4ec50f08def66931bc141d57f8014e232632d0c78b
76	211	13	2	1	1	U08-0000000219_S09-0000000325	8	219	9	325	8f0cd5b18f34fabbfd1f92c74735c8b08ac3ccc184f90ac0896bbc6d66b98e91
77	225	14	0	0	0	U08-0000000220_S09-0000000320	8	220	9	320	111cf03c5b3a7b14fb624004e27cc5ac40a93f77fb77e14b3a0f904ee7b0f2ed
78	225	14	0	0	1	U08-0000000220_S09-0000000321	8	220	9	321	1fb06c6cc75552075540d5b20f144d60373ab680863580f234a236e1ea057f1b
79	225	14	0	1	0	U08-0000000221_S09-0000000320	8	221	9	320	e88a48ffd4b29a68e033483cb78e88468dac839b5ca366258e1a85265117b657
80	225	14	0	1	1	U08-0000000221_S09-0000000321	8	221	9	321	f06df1a5487dc0e75677fc6691ae7b2e79fd553d90cb676d2a49b28ad7969387
81	226	14	1	0	0	U08-0000000220_S09-0000000322	8	220	9	322	8af6b98fe887c6715ac681ef44a141f9fca0ba41c619c22199ae5f08292a3e95
82	226	14	1	0	1	U08-0000000220_S09-0000000323	8	220	9	323	865762c5b02e33f64ba169ba6108fa321483f0aac9723306a464524cfda20e2d
83	226	14	1	1	0	U08-0000000221_S09-0000000322	8	221	9	322	5c5fad1756b6790fd4e7b3d7b2aeb2c8c659448aaca460386fab5ebc72f6b3b3
84	226	14	1	1	1	U08-0000000221_S09-0000000323	8	221	9	323	4633c4da14fc3abdd35efc85064bc78467b6f6e6a983b3419d13b3874183a1d7
85	227	14	2	0	0	U08-0000000220_S09-0000000324	8	220	9	324	c1b22e218659f5b5f618a9787fc3e5799e0d7a3ca0a6dfd0e47f28da7d7aaecb
86	227	14	2	0	1	U08-0000000220_S09-0000000325	8	220	9	325	dfcc71ceb77c68546189007371d328b9579322482e321216ef47afe35c497e9f
87	227	14	2	1	0	U08-0000000221_S09-0000000324	8	221	9	324	5545134fd5c214c435d654b5dcc9a050b300a373a34d58020e4ad7087e4cda55
88	227	14	2	1	1	U08-0000000221_S09-0000000325	8	221	9	325	250a1ef1803ce7531db59682384a66b39fbc143a69221f2ae7a7a3c772ad3ab4
89	241	15	0	0	0	U08-0000000222_S09-0000000320	8	222	9	320	c2d0d3cce644e390a11ef4b545949a60e08c84d8a99117fe53a439778e15ab92
90	241	15	0	0	1	U08-0000000222_S09-0000000321	8	222	9	321	1b07fc088c592da3f563b40b293033062c713cdda2e495a553c040df53a36f75
91	241	15	0	1	0	U08-0000000223_S09-0000000320	8	223	9	320	578b06766e6df943690c0e9f70c9f5c621d3d85a1724e9ee76d976e8eaa98b3b
92	241	15	0	1	1	U08-0000000223_S09-0000000321	8	223	9	321	d34b2bb0132a179fadcc2d0ab1163d9a6ff3fc5ec5f3a656ef6a178f9d78d261
93	242	15	1	0	0	U08-0000000222_S09-0000000322	8	222	9	322	5cf72dbcb3ddb44c492aef934ce6425c295f556653ed49af27c7bbeda1874766
94	242	15	1	0	1	U08-0000000222_S09-0000000323	8	222	9	323	6a871fb7e0a9f838a67bfe3dcba0ce368f5b983cb33ba96810b503a01928f8d1
95	242	15	1	1	0	U08-0000000223_S09-0000000322	8	223	9	322	b6fc8263620d0a533cd6df80704549a4c93212c6eba896762374c03a3347d21b
96	242	15	1	1	1	U08-0000000223_S09-0000000323	8	223	9	323	df5692782c085a16537ac95b3f9a2a2143cc4e07d7d2beebec321b054297703a
97	243	15	2	0	0	U08-0000000222_S09-0000000324	8	222	9	324	8fc7e7ca89ab63d5e34ee525adf2b75fed7801666689de4e429454310bc386b3
98	243	15	2	0	1	U08-0000000222_S09-0000000325	8	222	9	325	b6fc847e0c87a7187fdfecc2dfd864d2cea0a52c240ddd0b65ad70f1891f6236
99	243	15	2	1	0	U08-0000000223_S09-0000000324	8	223	9	324	b256cf4163e194b39860021cd91bd6a284194e20f943f72fd7e99d7d93c90eae
100	243	15	2	1	1	U08-0000000223_S09-0000000325	8	223	9	325	0e8be43c736fc8431924042021fb39cb4f94711c90bb93fc7684279044601f3a
