ATTEMPT_INDEX	LEAF_INDEX	LAYER	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	DEPTH4_U_OFFSET	DEPTH4_S_OFFSET	SUB_U_OFFSET	SUB_S_OFFSET	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	LEGACY_CERTIFICATE_PASS	TERMINAL_CERTIFIED	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS
21	11	D4	U07-0000000096_S08-0000000170	11	0	10	NA	NA	7	96	8	170	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3144	4fa9cb21e3cc709acdca228fb8f5c16af4caf4c07fecd55b84b30f52aa1e7339	e30a58fa508d6b4cf75ec545a09f13e69e64ef4f5061a89034fd1af5ec7daf2a	56bccc93b601d6a286fd9e2242b032a9645986e68c6fae40c9e5afa00cbac9bd	512a98f247d583f6230e5907b5bb5af417f4bcad0c4414fad1be6965e3bd31c3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f32230470ec32p-36	-0x1.f2c516217efd7p-36	-0x1.f32230470ec32p-36	-0x1.f2c516217efd7p-36	true	true
22	11	D4	U07-0000000096_S08-0000000170	11	0	10	NA	NA	7	96	8	170	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3049	4fa9cb21e3cc709acdca228fb8f5c16af4caf4c07fecd55b84b30f52aa1e7339	e30a58fa508d6b4cf75ec545a09f13e69e64ef4f5061a89034fd1af5ec7daf2a	a1ee570bedd1d51000027fe1deaabc77d997e61432ce49d61befdb8ce94ee2be	284a0c9912632cadabfc74a1032f2eb46cd5297e5fd72129f28cdab163e03fcd	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f322440d370bp-36	-0x1.f2c5025e9f9cdp-36	-0x1.f322440d370bp-36	-0x1.f2c5025e9f9cdp-36	true	true
23	12	D4	U07-0000000096_S08-0000000171	12	0	11	NA	NA	7	96	8	171	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3158	c5c2a84e13e009ffcd1107a88bd2f9fe281c7d134bfe615b8cb31b1891957d3c	057fcc909dc1bead33f5abac91b994421d1a7aebfa45156690c2ab839b422f55	b26bedfe02c79d9e085b8f6ff74d9040f6d5676974e3fd546186f3312d41fae1	5931d9899297c305d47acc268dba1d9e94a31252944477ae8c575a80b3224eee	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f305f0be766cap-36	-0x1.f2a8da7842ep-36	-0x1.f305f0be766cap-36	-0x1.f2a8da7842ep-36	true	true
24	12	D4	U07-0000000096_S08-0000000171	12	0	11	NA	NA	7	96	8	171	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3041	c5c2a84e13e009ffcd1107a88bd2f9fe281c7d134bfe615b8cb31b1891957d3c	057fcc909dc1bead33f5abac91b994421d1a7aebfa45156690c2ab839b422f55	b06c153fc41a2ea73667529377b147028677f7024ae7031fd33a6436fe3c65e1	e90ecb37e673217cbb40a27bd7d946a23b66b74702d7692f85752ae7ab725487	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f3060484504e1p-36	-0x1.f2a8c6b5b3087p-36	-0x1.f3060484504e1p-36	-0x1.f2a8c6b5b3087p-36	true	true
25	13	D4	U07-0000000096_S08-0000000172	13	0	12	NA	NA	7	96	8	172	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3166	d1b206c1d6f45a0d3a89d2229bc401f392b1d274c8fdda950be12d7fea8fba93	b81ba81fd23bb49c0af6d0d61cd8902ef1884a33c133447572bddaf56f84dfcd	be086ff3d480d568aa502cd40c8f5115684979c6716883fa2f6fa9616952a648	105184a35871690a73df630c3d120d913735f3ccb6dae77324f08eaba76202d4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2e9b2026732cp-36	-0x1.f28c9f9aca17bp-36	-0x1.f2e9b2026732cp-36	-0x1.f28c9f9aca17bp-36	true	true
26	13	D4	U07-0000000096_S08-0000000172	13	0	12	NA	NA	7	96	8	172	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3068	d1b206c1d6f45a0d3a89d2229bc401f392b1d274c8fdda950be12d7fea8fba93	b81ba81fd23bb49c0af6d0d61cd8902ef1884a33c133447572bddaf56f84dfcd	372b205a87d5415486a676a0c0fc357defbf302ddc9fc159b8db7884a5de6106	41debfe3bef45be5c774b47595f80513aaa9f981606af7d72729b9b0105b621e	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2e9c5c79fc1fp-36	-0x1.f28c8bd8db48cp-36	-0x1.f2e9c5c79fc1fp-36	-0x1.f28c8bd8db48cp-36	true	true
27	14	D4	U07-0000000096_S08-0000000173	14	0	13	NA	NA	7	96	8	173	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3150	a1606b44e5b68c5d43f0e59032b18dabcdd9d2085b5279794df41507f7879a0d	6162db1fbb4b4ca6d9f478a2a7bb1795d72f25c190ff23fcdb24259d50d50c5c	caf0fd0ffba56c9475f660fac46dce82f5af4494dacf20019bb22313db408ddc	2c92219a64432ad1378623d51f1476d6689fdfacb3179a15e9edd52fac9c6ecb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2cd7411f9e13p-36	-0x1.f2706589eff9bp-36	-0x1.f2cd7411f9e13p-36	-0x1.f2706589eff9bp-36	true	true
28	14	D4	U07-0000000096_S08-0000000173	14	0	13	NA	NA	7	96	8	173	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3042	a1606b44e5b68c5d43f0e59032b18dabcdd9d2085b5279794df41507f7879a0d	6162db1fbb4b4ca6d9f478a2a7bb1795d72f25c190ff23fcdb24259d50d50c5c	4faf59a868859e8b3b3a8b069ef6220be6b885a9a355b70194fc552687d52522	300e64d3051df21474e533336bad6b55bd6d4865e67d84acef807ac7c2a80d9d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2cd87d71ad3bp-36	-0x1.f27051c818e53p-36	-0x1.f2cd87d71ad3bp-36	-0x1.f27051c818e53p-36	true	true
29	15	D4	U07-0000000096_S08-0000000174	15	0	14	NA	NA	7	96	8	174	C0HORect2Set	DESCENDANT_PROBE_PASS	0	3169	a29cde5185c400fabece8a032d49071f3096f2f9919e9db3d437da884952bf5b	fb0e925834c4a107e35d3145c7508828182634dba1755f6200a3435d71afa929	bf535603d2ba95239179cf5164a366e677103977c6f920cbfcc191574efb78a9	841b5962252ac12e1ad88bbee1e3822c27098d48f1423719c39f301ebfea63f5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2b136ee35dc1p-36	-0x1.f2542c44a2b9bp-36	-0x1.f2b136ee35dc1p-36	-0x1.f2542c44a2b9bp-36	true	true
30	15	D4	U07-0000000096_S08-0000000174	15	0	14	NA	NA	7	96	8	174	C0Rect2Set	DESCENDANT_PROBE_PASS	0	3082	a29cde5185c400fabece8a032d49071f3096f2f9919e9db3d437da884952bf5b	fb0e925834c4a107e35d3145c7508828182634dba1755f6200a3435d71afa929	5b8c274b26b5c9844c67a53b3113f0014389d09b8267da09a8aedb9b37867627	d8cba65fb9453b6931e836ec807645f909a78633b6742550829012a00190e724	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	false	false	true	true	true	-0x1.f2b14ab2c7d57p-36	-0x1.f25418835bf37p-36	-0x1.f2b14ab2c7d57p-36	-0x1.f25418835bf37p-36	true	true
