model	seed	site	subjects	accuracy_pct	balanced_accuracy_pct	macro_f1_pct	auroc_pct	brier	ece_pct	assoc_mean
H-SSM	27182	UCLA_1	6	50.0	50.0	33.333333	0.0	0.26941508	13.9338	0.0
H-SSM	27182	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25643156	8.0197	0.0
H-SSM	27182	UM_1	6	50.0	50.0	33.333333	0.0	0.25028322	1.6829	0.0
H-SSM	27182	UM_2	4	50.0	50.0	33.333333	0.0	0.26828283	13.5214	0.0
H-SSM	27182	USM	6	50.0	50.0	33.333333	0.0	0.26409468	11.8721	0.0
H-SSM	27182	YALE	6	50.0	50.0	33.333333	0.0	0.25931611	9.652	0.0
H-SSM	31415	CALTECH	4	50.0	50.0	33.333333	0.0	0.25662319	8.1383	0.0
H-SSM	31415	CMU	4	50.0	50.0	33.333333	0.0	0.2843335	18.5293	0.0
H-SSM	31415	KKI	6	50.0	50.0	33.333333	0.0	0.25479833	6.927	0.0
H-SSM	31415	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.2538138	6.1756	0.0
H-SSM	31415	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25934122	9.665	0.0
H-SSM	31415	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.27377332	15.4186	0.0
H-SSM	31415	NYU	6	50.0	50.0	33.333333	0.0	0.25749056	8.6548	0.0
H-SSM	31415	OHSU	4	50.0	50.0	33.333333	0.0	0.25318378	5.6425	0.0
H-SSM	31415	OLIN	4	50.0	50.0	33.333333	0.0	0.27708263	16.4568	0.0
H-SSM	31415	PITT	6	50.0	50.0	33.333333	0.0	0.30051571	22.4757	0.0
H-SSM	31415	SBL	4	50.0	50.0	33.333333	0.0	0.2552712	7.2603	0.0
H-SSM	31415	SDSU	4	50.0	50.0	33.333333	0.0	0.25119211	3.4527	0.0
H-SSM	31415	STANFORD	6	50.0	50.0	33.333333	0.0	0.25179963	4.2422	0.0
H-SSM	31415	TRINITY	6	50.0	50.0	33.333333	0.0	0.28080306	17.5508	0.0
H-SSM	31415	UCLA_1	6	50.0	50.0	33.333333	0.0	0.26812066	13.4613	0.0
H-SSM	31415	UCLA_2	4	50.0	50.0	33.333333	0.0	0.27307179	15.1894	0.0
H-SSM	31415	UM_1	6	50.0	50.0	33.333333	0.0	0.25480346	6.9307	0.0
H-SSM	31415	UM_2	4	50.0	50.0	33.333333	0.0	0.25426174	6.5282	0.0
H-SSM	31415	USM	6	50.0	50.0	33.333333	0.0	0.2965252	21.5697	0.0
H-SSM	31415	YALE	6	50.0	50.0	33.333333	0.0	0.25501349	7.0806	0.0
H-SSM	33333	CALTECH	4	50.0	50.0	33.333333	0.0	0.25005901	0.7682	0.0
H-SSM	33333	CMU	4	50.0	50.0	33.333333	0.0	0.25128687	3.5873	0.0
H-SSM	33333	KKI	6	50.0	50.0	33.333333	0.0	0.2581236	9.0131	0.0
H-SSM	33333	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.28996641	19.9916	0.0
H-SSM	33333	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25037857	1.9457	0.0
H-SSM	33333	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.27855154	16.8972	0.0
H-SSM	33333	NYU	6	50.0	50.0	33.333333	0.0	0.29458137	21.1143	0.0
H-SSM	33333	OHSU	4	50.0	50.0	33.333333	0.0	0.25993172	9.9658	0.0
H-SSM	33333	OLIN	4	50.0	50.0	33.333333	0.0	0.28504646	18.7207	0.0
H-SSM	33333	PITT	6	50.0	50.0	33.333333	0.0	0.2508555	2.9249	0.0
H-SSM	33333	SBL	4	50.0	50.0	33.333333	0.0	0.26531703	12.3762	0.0
H-SSM	33333	SDSU	4	50.0	50.0	33.333333	0.0	0.25012647	1.1246	0.0
H-SSM	33333	STANFORD	6	50.0	50.0	33.333333	0.0	0.29122321	20.3035	0.0
H-SSM	33333	TRINITY	6	50.0	50.0	33.333333	0.0	0.25274943	5.2435	0.0
H-SSM	33333	UCLA_1	6	50.0	50.0	33.333333	0.0	0.25247228	4.9722	0.0
H-SSM	33333	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25914931	9.5652	0.0
H-SSM	33333	UM_1	6	50.0	50.0	33.333333	0.0	0.25614295	7.8377	0.0
H-SSM	33333	UM_2	4	50.0	50.0	33.333333	0.0	0.30531622	23.5194	0.0
H-SSM	33333	USM	6	50.0	50.0	33.333333	0.0	0.255776	7.6	0.0
H-SSM	33333	YALE	6	50.0	50.0	33.333333	0.0	0.271702	14.7316	0.0
H-SSM	44444	CALTECH	4	50.0	50.0	33.333333	0.0	0.29212838	20.5252	0.0
H-SSM	44444	CMU	4	50.0	50.0	33.333333	0.0	0.28538048	18.8097	0.0
H-SSM	44444	KKI	6	50.0	50.0	33.333333	0.0	0.25202212	4.4968	0.0
H-SSM	44444	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.2596682	9.8327	0.0
H-SSM	44444	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25000601	0.2452	0.0
H-SSM	44444	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.27319712	15.2306	0.0
H-SSM	44444	NYU	6	50.0	50.0	33.333333	0.0	0.26404912	11.8529	0.0
H-SSM	44444	OHSU	4	50.0	50.0	33.333333	0.0	0.26034635	10.1717	0.0
H-SSM	44444	OLIN	4	50.0	50.0	33.333333	0.0	0.26665726	12.9063	0.0
H-SSM	44444	PITT	6	50.0	50.0	33.333333	0.0	0.26384576	11.7668	0.0
H-SSM	44444	SBL	4	50.0	50.0	33.333333	0.0	0.25013078	1.1436	0.0
H-SSM	44444	SDSU	4	50.0	50.0	33.333333	0.0	0.33635076	29.3855	0.0
H-SSM	44444	STANFORD	6	50.0	50.0	33.333333	0.0	0.26862897	13.6488	0.0
H-SSM	44444	TRINITY	6	50.0	50.0	33.333333	0.0	0.27382392	15.435	0.0
H-SSM	44444	UCLA_1	6	50.0	50.0	33.333333	0.0	0.27422599	15.5647	0.0
H-SSM	44444	UCLA_2	4	50.0	50.0	33.333333	0.0	0.33590233	29.3091	0.0
H-SSM	44444	UM_1	6	50.0	50.0	33.333333	0.0	0.25324558	5.697	0.0
H-SSM	44444	UM_2	4	50.0	50.0	33.333333	0.0	0.25097869	3.1284	0.0
H-SSM	44444	USM	6	50.0	50.0	33.333333	0.0	0.29269348	20.6624	0.0
H-SSM	44444	YALE	6	50.0	50.0	33.333333	0.0	0.25543228	7.3704	0.0
H-SSM	44567	CALTECH	4	50.0	50.0	33.333333	0.0	0.28657159	19.1237	0.0
H-SSM	44567	CMU	4	50.0	50.0	33.333333	0.0	0.26569082	12.5263	0.0
H-SSM	44567	KKI	6	50.0	50.0	33.333333	0.0	0.26528487	12.3632	0.0
H-SSM	44567	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.25887816	9.4224	0.0
H-SSM	44567	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25011253	1.0608	0.0
H-SSM	44567	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.25022076	1.4858	0.0
H-SSM	44567	NYU	6	50.0	50.0	33.333333	0.0	0.2563976	7.9985	0.0
H-SSM	44567	OHSU	4	50.0	50.0	33.333333	0.0	0.26497466	12.2371	0.0
H-SSM	44567	OLIN	4	50.0	50.0	33.333333	0.0	0.25057006	2.3876	0.0
H-SSM	44567	PITT	6	50.0	50.0	33.333333	0.0	0.27546737	15.9585	0.0
H-SSM	44567	SBL	4	50.0	50.0	33.333333	0.0	0.27437533	15.6126	0.0
H-SSM	44567	SDSU	4	50.0	50.0	33.333333	0.0	0.25067522	2.5985	0.0
H-SSM	44567	STANFORD	6	50.0	50.0	33.333333	0.0	0.28403877	18.4496	0.0
H-SSM	44567	TRINITY	6	50.0	50.0	33.333333	0.0	0.25003676	0.6063	0.0
H-SSM	44567	UCLA_1	6	50.0	50.0	33.333333	0.0	0.31716131	25.9155	0.0
H-SSM	44567	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25455477	6.7489	0.0
H-SSM	44567	UM_1	6	50.0	50.0	33.333333	0.0	0.26938527	13.9231	0.0
H-SSM	44567	UM_2	4	50.0	50.0	33.333333	0.0	0.25002596	0.5095	0.0
H-SSM	44567	USM	6	50.0	50.0	33.333333	0.0	0.25046859	2.1647	0.0
H-SSM	44567	YALE	6	50.0	50.0	33.333333	0.0	0.32014658	26.4852	0.0
H-SSM	54321	CALTECH	4	50.0	50.0	33.333333	0.0	0.25084222	2.9021	0.0
H-SSM	54321	CMU	4	50.0	50.0	33.333333	0.0	0.27161223	14.7011	0.0
H-SSM	54321	KKI	6	50.0	50.0	33.333333	0.0	0.30163438	22.7232	0.0
H-SSM	54321	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.29040221	20.1003	0.0
H-SSM	54321	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25500797	7.0767	0.0
H-SSM	54321	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.29010767	20.0269	0.0
H-SSM	54321	NYU	6	50.0	50.0	33.333333	0.0	0.28680297	19.1841	0.0
H-SSM	54321	OHSU	4	50.0	50.0	33.333333	0.0	0.27512225	15.85	0.0
H-SSM	54321	OLIN	4	50.0	50.0	33.333333	0.0	0.2570607	8.4028	0.0
H-SSM	54321	PITT	6	50.0	50.0	33.333333	0.0	0.2532217	5.676	0.0
H-SSM	54321	SBL	4	50.0	50.0	33.333333	0.0	0.2507031	2.6516	0.0
H-SSM	54321	SDSU	4	50.0	50.0	33.333333	0.0	0.25608447	7.8003	0.0
H-SSM	54321	STANFORD	6	50.0	50.0	33.333333	0.0	0.25517709	7.1952	0.0
H-SSM	54321	TRINITY	6	50.0	50.0	33.333333	0.0	0.28539666	18.814	0.0
H-SSM	54321	UCLA_1	6	50.0	50.0	33.333333	0.0	0.27492262	15.7869	0.0
H-SSM	54321	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25357736	5.9811	0.0
H-SSM	54321	UM_1	6	50.0	50.0	33.333333	0.0	0.25801258	8.9513	0.0
H-SSM	54321	UM_2	4	50.0	50.0	33.333333	0.0	0.28964798	19.9118	0.0
H-SSM	54321	USM	6	50.0	50.0	33.333333	0.0	0.26202005	10.9636	0.0
H-SSM	54321	YALE	6	50.0	50.0	33.333333	0.0	0.25983866	9.919	0.0
H-SSM	55555	CALTECH	4	50.0	50.0	33.333333	0.0	0.25374458	6.1193	0.0
H-SSM	55555	CMU	4	50.0	50.0	33.333333	0.0	0.26338603	11.5698	0.0
H-SSM	55555	KKI	6	50.0	50.0	33.333333	0.0	0.25037819	1.9447	0.0
H-SSM	55555	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.25005995	0.7743	0.0
H-SSM	55555	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.30313348	23.0507	0.0
H-SSM	55555	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.26938861	13.9243	0.0
H-SSM	55555	NYU	6	50.0	50.0	33.333333	0.0	0.2501251	1.1185	0.0
H-SSM	55555	OHSU	4	50.0	50.0	33.333333	0.0	0.27968522	17.2294	0.0
H-SSM	55555	OLIN	4	50.0	50.0	33.333333	0.0	0.2559421	7.7085	0.0
H-SSM	55555	PITT	6	50.0	50.0	33.333333	0.0	0.28978908	19.9472	0.0
H-SSM	55555	SBL	4	50.0	50.0	33.333333	0.0	0.25000843	0.2903	0.0
H-SSM	55555	SDSU	4	50.0	50.0	33.333333	0.0	0.25038146	1.9531	0.0
H-SSM	55555	STANFORD	6	50.0	50.0	33.333333	0.0	0.28868617	19.6688	0.0
H-SSM	55555	TRINITY	6	50.0	50.0	33.333333	0.0	0.26410346	11.8758	0.0
H-SSM	55555	UCLA_1	6	50.0	50.0	33.333333	0.0	0.29911986	22.163	0.0
H-SSM	55555	UCLA_2	4	50.0	50.0	33.333333	0.0	0.2501013	1.0065	0.0
H-SSM	55555	UM_1	6	50.0	50.0	33.333333	0.0	0.25101245	3.1819	0.0
H-SSM	55555	UM_2	4	50.0	50.0	33.333333	0.0	0.25031223	1.767	0.0
H-SSM	55555	USM	6	50.0	50.0	33.333333	0.0	0.251806	4.2497	0.0
H-SSM	55555	YALE	6	50.0	50.0	33.333333	0.0	0.25127528	3.5711	0.0
H-SSM	66666	CALTECH	4	50.0	50.0	33.333333	0.0	0.25208867	4.5702	0.0
H-SSM	66666	CMU	4	50.0	50.0	33.333333	0.0	0.26147684	10.713	0.0
H-SSM	66666	KKI	6	50.0	50.0	33.333333	0.0	0.25103858	3.2227	0.0
H-SSM	66666	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.26588759	12.6046	0.0
H-SSM	66666	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.25001642	0.4052	0.0
H-SSM	66666	MAX_MUN	6	50.0	50.0	33.333333	0.0	0.25230919	4.8054	0.0
H-SSM	66666	NYU	6	50.0	50.0	33.333333	0.0	0.27618377	16.1814	0.0
H-SSM	66666	OHSU	4	50.0	50.0	33.333333	0.0	0.25303039	5.5049	0.0
H-SSM	66666	OLIN	4	50.0	50.0	33.333333	0.0	0.28190868	17.863	0.0
H-SSM	66666	PITT	6	50.0	50.0	33.333333	0.0	0.25557038	7.4635	0.0
H-SSM	66666	SBL	4	50.0	50.0	33.333333	0.0	0.26769326	13.3016	0.0
H-SSM	66666	SDSU	4	50.0	50.0	33.333333	0.0	0.25708509	8.4173	0.0
H-SSM	66666	STANFORD	6	50.0	50.0	33.333333	0.0	0.27654032	16.2912	0.0
H-SSM	66666	TRINITY	6	50.0	50.0	33.333333	0.0	0.25247765	4.9776	0.0
H-SSM	66666	UCLA_1	6	50.0	50.0	33.333333	0.0	0.27558336	15.9948	0.0
H-SSM	66666	UCLA_2	4	50.0	50.0	33.333333	0.0	0.25945465	9.7235	0.0
H-SSM	66666	UM_1	6	50.0	50.0	33.333333	0.0	0.2500014	0.1182	0.0
H-SSM	66666	UM_2	4	50.0	50.0	33.333333	0.0	0.25135255	3.6777	0.0
H-SSM	66666	USM	6	50.0	50.0	33.333333	0.0	0.25573443	7.5726	0.0
H-SSM	66666	YALE	6	50.0	50.0	33.333333	0.0	0.25007797	0.883	0.0
H-SSM	67890	CALTECH	4	50.0	50.0	33.333333	0.0	0.27403585	15.5035	0.0
H-SSM	67890	CMU	4	50.0	50.0	33.333333	0.0	0.2617601	10.8444	0.0
H-SSM	67890	KKI	6	50.0	50.0	33.333333	0.0	0.25377623	6.1451	0.0
H-SSM	67890	LEUVEN_1	4	50.0	50.0	33.333333	0.0	0.27025271	14.2312	0.0
H-SSM	67890	LEUVEN_2	4	50.0	50.0	33.333333	0.0	0.28529777	18.7877	0.0
