NODE_ID	WAVE_INDEX	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	INPUT_SHA256	RC	STDERR_SHA256	NORMALIZED_CLASS
U02-0000000003_S03-0000000004	5	2	3	3	4	0c7429ff8b397f70225ff2d37bb17066d2a268ec0687f9b9394afa4eecd942e8	1	d2eefba678ce5b6c57a81a53809ad98601effb2c1206bf97f01d5b0824319112	H_PG_CAPD_SET
U02-0000000003_S03-0000000005	5	2	3	3	5	5428ea1e73d399cdf9c9d1139001ccb6891e99c71807e7e8cbddede504e47185	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000003_S03-0000000006	5	2	3	3	6	ed020e34bf1a47dbf37e9cde50e54d1c310dd5ae11441040455beea0eb47970b	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U02-0000000003_S03-0000000007	5	2	3	3	7	ebaca7b8bb9e5a3e5950fe18dac77728e6a4ef880df7e3b987cd95e3e0b230f8	1	f1e298986ddb1d83a9d24b1469bf343a7e8be6d443fa7ab0293e2308702d8c4d	H_PG_CAPD_SET
U03-0000000000_S03-0000000000	6	3	0	3	0	1e96c3d0c4341e868888ae76b915d53879117dec0eaf8d2f6437881629f87fd5	1	dc71fe1c5bdeb3116880dd9af880fc08a5cf62d25c54ca80488d49b42fa640f4	H_PG_CAPD_SET
U03-0000000000_S03-0000000001	6	3	0	3	1	2ca9e27439fa1e11d6145edcb983ae8593579d46964442a84d4534db16551600	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U03-0000000000_S03-0000000002	6	3	0	3	2	e08b856c0efbffc9bcf875449e17f28a7f9b2f0e9261d6be7def2b1360168d70	1	3f4533a5c1913736e259c26e083eb77040f074eeb49bec216311b6762b54078e	H_PG_CAPD_SET
U03-0000000000_S03-0000000003	6	3	0	3	3	ce217bc78032d377e2855d73259476e7b3bc45fe483ef11d06387e15ed497322	1	4e8d2a239780ab2d8f266205040607acfcbcc751d65a154cc920ef91f8668002	H_PG_CAPD_SET
U03-0000000000_S03-0000000004	6	3	0	3	4	ab5c9f1ba64b3d302a0052550d6182fdee26cccb838af4cdf0100eb78769a53e	1	06f780f9547fc23d64276473c8c04dc18e4829e015b92a3112a1bc6f9ea4d643	H_PG_CAPD_SET
U03-0000000000_S03-0000000005	6	3	0	3	5	468a28691a2ebd262deb9ef53a0a678233a860e4dd74ee217d3ef48974035652	1	64bf8a94b3f8d9cb7f3d8e09a6b15cd2515390ec494a1202ac13749cd0442597	H_PG_CAPD_SET
U03-0000000000_S03-0000000006	6	3	0	3	6	74e45627363cb5e3f40984fded1eec4ff010907c5731917cc48b973d1feac601	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U03-0000000000_S03-0000000007	6	3	0	3	7	3605847af077e9a1ef48561d157992b5d609ab598e8135c7587d19596cbc7bae	1	f474803fb5c090b7e73ad9e7656dc72bf90eb400e5d2f4fa87ceac12efbf6dad	H_PG_CAPD_SET
U03-0000000001_S03-0000000000	6	3	1	3	0	95af51f010684650fb4047fc28e0d51df850e46b3e0d2ceb5cfc152742ab9bb1	1	e3dbce1a8048478ca3d7d7bdf935578fbebbe6ad6ef35058a56124f47e4d62dc	H_PG_CAPD_SET
U03-0000000001_S03-0000000001	6	3	1	3	1	0cfb0bfe747a5c811147771d0dbb8648d85bd85fa80f920d63ffbf4239dcb43b	1	1afc6df9589bce2f21562c053ed93cb06e905d65d273231e201f5fff58253575	H_PG_CAPD_SET
U03-0000000001_S03-0000000002	6	3	1	3	2	d68346134d22fd5aeb6bba39c1671fbb1ab8792434813c743fa5c49d2a92d0c4	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	H_PG_SUCCESS
U03-0000000001_S03-0000000003	6	3	1	3	3	16ce2b63422b8d81d6884631b789888ef6afd5309dd0b652938a9ea059a0ecf8	1	093074ace48e066de6456156c4003d830f5e5e8ddbc09ba4f998a238fd0b3aad	H_PG_CAPD_SET
U03-0000000001_S03-0000000004	6	3	1	3	4	64bbb86ce31a1069837f8b6ab4c95386baa6a7c6587572d64fbb5c29ffdf0b3f	1	e4d5227a315de3ac3fed5d60f68417391aec86722b2588710932e45eeaafc795	H_PG_CAPD_SET
U03-0000000001_S03-0000000005	6	3	1	3	5	dcb1e99ca229fc7dea1848417d2fffcb3ba75ef90d8a5136b222bfb9ae1ceced	1	2f323b799f009e610050718b0b789a9432577f4ca272a0bff774841ee4c3ff7e	H_PG_CAPD_SET
U03-0000000001_S03-0000000006	6	3	1	3	6	da91cdd97aacfa32a9fb0088da6c03679d1b2335b11652c47c80d5d67d93b038	1	2230bb1984557b3ab234d24235319d6121831edd36f8413e6bb508c9d2bb4516	H_PG_CAPD_SET
U03-0000000001_S03-0000000007	6	3	1	3	7	0b781392921464d78d087f662d67154488bf4b7678d2e67870506718b8e27777	1	7640887492fd7cb0559ba3c291871fbb9cc435abfca393e7de2b6df2a91778e6	H_PG_CAPD_SET
U03-0000000002_S03-0000000000	6	3	2	3	0	f650e831a969f3de7449f2a476d8387a335cc3d463bbd98d87589ffb01da1552	1	082cd53b6a089533f0438176a5178e2f23b8381d2c0f6fa413ce8ef838d0f3db	H_PG_CAPD_SET
U03-0000000002_S03-0000000001	6	3	2	3	1	a23424c38566497259169b1c3985d1426241f51f2ddb1c9a1b6095ceebcc73af	1	2b9a87b414f936769408368d1fc9c0e94c10dfa93d09af28f607fe72afb1904c	H_PG_CAPD_SET
U03-0000000002_S03-0000000002	6	3	2	3	2	6984336d2631504fb8b00a6cf29316316f711b5f0c9f7a1204b37ad54e7f771c	1	c2921bbcb4cd7074ea041f087b01dca18b7b345cf9bce18327c2ec5d2dfd86ad	H_PG_CAPD_SET
U03-0000000002_S03-0000000003	6	3	2	3	3	3df6304ecfe345331c69762902aacbd777e91a71744d8eccbf12cf4763e0a795	1	83f12bf9798ed1b95909f2b314f79ddc9950a2ff1fb3dd44b297deaf977878a2	H_PG_CAPD_SET
