file	a_compile	nv2_compile	a_run	nv2_run	stdout_match	exit_match	category
examples/genomics_fairness_demo.sio	0	3	0	-	-	-	nv2_compile
examples/test_i64_bug_fix.sio	0	3	42	-	-	-	nv2_compile
examples/monte_carlo/main.sio	1	3	-	-	-	-	both_fail
examples/scientific_computing_demo.sio	1	3	-	-	-	-	both_fail
examples/qnn_demo_simple.sio	1	3	-	-	-	-	both_fail
examples/sedenion_ssm_stacked_2layer.sio	0	3	0	-	-	-	nv2_compile
examples/graph/entropy_demo.sio	1	3	-	-	-	-	both_fail
examples/graph/coherence_demo.sio	0	3	139	-	-	-	nv2_compile
examples/graph/multi_module_demo.sio	0	3	139	-	-	-	nv2_compile
examples/graph/curvature_demo.sio	0	3	139	-	-	-	nv2_compile
examples/smnist_ossm_benchmark.sio	1	3	-	-	-	-	both_fail
examples/financial_risk_epistemic.sio	0	3	0	-	-	-	nv2_compile
examples/conjecture5_bridge_test.sio	0	3	0	-	-	-	nv2_compile
examples/alpha_geo_zero.sio	1	3	-	-	-	-	both_fail
examples/wave2_neural_ode.sio	1	3	-	-	-	-	both_fail
examples/epistemic_bmi.sio	0	3	0	-	-	-	nv2_compile
examples/causal/uplift_demo.sio	0	3	1	-	-	-	nv2_compile
examples/causal/discovery_demo.sio	0	3	1	-	-	-	nv2_compile
examples/causal/core_demo.sio	0	3	1	-	-	-	nv2_compile
examples/causal/mod_demo.sio	0	0	0	0	1	1	ok
examples/causal/refutation_demo.sio	0	3	124	-	-	-	nv2_compile
examples/cyp450_168_demo.sio	0	3	0	-	-	-	nv2_compile
examples/ossm_longrange_benchmark.sio	0	3	0	-	-	-	nv2_compile
examples/epistemic_lm_backprop.sio	0	3	0	-	-	-	nv2_compile
examples/zd_model_editing_locality.sio	0	3	0	-	-	-	nv2_compile
examples/binary_norm_proof.sio	0	3	0	-	-	-	nv2_compile
examples/ossm_knowledge.sio	0	3	0	-	-	-	nv2_compile
examples/fmri/connectivity_demo.sio	1	3	-	-	-	-	both_fail
examples/fmri/atlas_demo.sio	0	3	1	-	-	-	nv2_compile
examples/fmri/nifti_demo.sio	1	3	-	-	-	-	both_fail
examples/fmri/connectivity_epistemic_demo.sio	1	3	-	-	-	-	both_fail
examples/fmri/pipeline_demo.sio	1	3	-	-	-	-	both_fail
examples/fmri/preprocess_demo.sio	0	3	0	-	-	-	nv2_compile
examples/clinical_trial_epistemic.sio	0	3	0	-	-	-	nv2_compile
examples/seizure_hessian_deep.sio	0	3	0	-	-	-	nv2_compile
examples/test_autodiff_polynomial.sio	1	3	-	-	-	-	both_fail
examples/fidelity_demo.sio	1	3	-	-	-	-	both_fail
examples/copy_task_benchmark.sio	1	3	-	-	-	-	both_fail
examples/paper_validation.sio	1	3	-	-	-	-	both_fail
examples/search/mcts/policy_demo.sio	0	3	0	-	-	-	nv2_compile
examples/search/mcts/examples/uncertainty_demo_demo.sio	0	3	1	-	-	-	nv2_compile
examples/search/mcts/examples/tictactoe_demo.sio	0	3	1	-	-	-	nv2_compile
examples/search/mcts/core_demo.sio	0	3	0	-	-	-	nv2_compile
examples/search/mcts/node_demo.sio	1	3	-	-	-	-	both_fail
examples/algo/graph_demo.sio	1	3	-	-	-	-	both_fail
examples/algo/sorting_demo.sio	1	3	-	-	-	-	both_fail
examples/epistemic_lm.sio	0	3	0	-	-	-	nv2_compile
examples/seizure_preprint.sio	0	3	124	-	-	-	nv2_compile
examples/pbpk_model/main.sio	1	3	-	-	-	-	both_fail
examples/ossm_fullbp_v2.sio	0	3	0	-	-	-	nv2_compile
examples/reverse_copy_benchmark.sio	1	3	-	-	-	-	both_fail
examples/octonion_magic_square.sio	0	3	0	-	-	-	nv2_compile
examples/adding_problem_benchmark.sio	1	3	-	-	-	-	both_fail
examples/hsi_tissue_classification.sio	0	3	139	-	-	-	nv2_compile
examples/imo_benchmark_eval.sio	1	3	-	-	-	-	both_fail
examples/test_zstd.sio	1	3	-	-	-	-	both_fail
examples/oct_conjecture_test.sio	0	3	0	-	-	-	nv2_compile
examples/ossm_fullbp_sorting.sio	0	3	0	-	-	-	nv2_compile
examples/sedenion_ssm_seizure_chb11.sio	1	3	-	-	-	-	both_fail
examples/ossm_vs_qssm_fullbp.sio	0	3	0	-	-	-	nv2_compile
examples/test_process.sio	1	3	-	-	-	-	both_fail
examples/qnn_validation.sio	0	3	0	-	-	-	nv2_compile
examples/wave1_uncertainty.sio	1	3	-	-	-	-	both_fail
examples/sedenion_zero_div_hunt.sio	0	3	0	-	-	-	nv2_compile
examples/zd_epistemic_collapse.sio	0	3	0	-	-	-	nv2_compile
examples/onn_rotation_prediction.sio	1	3	-	-	-	-	both_fail
examples/wave3_explainable_nn.sio	1	3	-	-	-	-	both_fail
examples/epistemic_refinements.sio	1	3	-	-	-	-	both_fail
examples/causal_model.sio	0	0	0	0	1	1	ok
examples/sedenion_ssm_seizure_chb01.sio	1	3	-	-	-	-	both_fail
examples/conversational_ossm/o_ssm_conflict.sio	0	3	0	-	-	-	nv2_compile
examples/conversational_ossm/o_ssm_router.sio	1	3	-	-	-	-	both_fail
examples/conversational_ossm/associator_telemetry.sio	1	3	-	-	-	-	both_fail
examples/conversational_ossm/bidirectional_ossm_v0.sio	1	3	-	-	-	-	both_fail
examples/conversational_ossm/agent_cli.sio	0	3	1	-	-	-	nv2_compile
