LAYER	ATTEMPT_INDEX	LEAF_ID	PARENT_DEPTH4_CELL_INDEX	CARRIER	LEGACY_CERTIFICATE_PASS	STRUCTURAL_PASS	HOMOGENEOUS_COMPUTATION_VALID	PROBE_PASS	LIOUVILLE_LOWER	LIOUVILLE_UPPER	JOINT_LOWER	JOINT_UPPER	JOINT_EQUALS_LIOUVILLE	EPISTEMIC_CERTIFICATE_PASS	STDOUT_SHA256
D4	31	U07-0000000096_S08-0000000175	16	C0HORect2Set	false	true	true	true	-0x1.f294fa962b586p-36	-0x1.f237f3cbcc098p-36	-0x1.f294fa962b586p-36	-0x1.f237f3cbcc098p-36	true	true	09705364a302ae2ab7a44eb345dc4a4773128a3780c0627a58fae08208941ecb
D4	32	U07-0000000096_S08-0000000175	16	C0Rect2Set	false	true	true	true	-0x1.f2950e5a96f0cp-36	-0x1.f237e00aa9787p-36	-0x1.f2950e5a96f0cp-36	-0x1.f237e00aa9787p-36	true	true	6b22f28ea34185969a53f685b485128b28651afa367f7f17d77eadcdd9822532
D4	33	U07-0000000097_S08-0000000160	17	C0HORect2Set	false	true	true	true	-0x1.f439440a99d3ep-36	-0x1.f3dc03509af7bp-36	-0x1.f439440a99d3ep-36	-0x1.f3dc03509af7bp-36	true	true	47f759b4f620ceee41e9ffc30fa3967e4456609a929f4e4c5b2b8948f08633fc
D4	34	U07-0000000097_S08-0000000160	17	C0Rect2Set	false	true	true	true	-0x1.f43957d5bc963p-36	-0x1.f3dbef88c0a94p-36	-0x1.f43957d5bc963p-36	-0x1.f3dbef88c0a94p-36	true	true	50bce1185fe6c64fda4c7aaa25d1391bdaca2fcc9c06c11f4040fd8c69752195
D4	35	U07-0000000097_S08-0000000161	18	C0HORect2Set	false	true	true	true	-0x1.f41cfcac6e612p-36	-0x1.f3bfbfd362e3ep-36	-0x1.f41cfcac6e612p-36	-0x1.f3bfbfd362e3ep-36	true	true	1c8fe7857b44091f014a24986a89d3d291def3fc218c68177d033345314955f1
D4	36	U07-0000000097_S08-0000000161	18	C0Rect2Set	false	true	true	true	-0x1.f41d10771ede1p-36	-0x1.f3bfac0bfb099p-36	-0x1.f41d10771ede1p-36	-0x1.f3bfac0bfb099p-36	true	true	8a80ce01de38253f423dae9dcadc99280575daccca09ebe770587cb4348d38e2
D4	37	U07-0000000097_S08-0000000162	19	C0HORect2Set	false	true	true	true	-0x1.f400b61ad54f2p-36	-0x1.f3a37d224869ep-36	-0x1.f400b61ad54f2p-36	-0x1.f3a37d224869ep-36	true	true	3d0104e3f8e71df915f3538d40a2388d85d8e3282fb1761e0a0483e331bd3e86
D4	38	U07-0000000097_S08-0000000162	19	C0Rect2Set	false	true	true	true	-0x1.f400c9e4e9433p-36	-0x1.f3a3695b7ccfp-36	-0x1.f400c9e4e9433p-36	-0x1.f3a3695b7ccfp-36	true	true	6937051958a9235089854f0dadde693a2e3698b0ec39e13ac351fdb7aa0a4800
D4	39	U07-0000000097_S08-0000000163	20	C0HORect2Set	false	true	true	true	-0x1.f3e470553d1fdp-36	-0x1.f3873b3dd35e9p-36	-0x1.f3e470553d1fdp-36	-0x1.f3873b3dd35e9p-36	true	true	a8044b36b7709d4260a9891a4a5862b9acb8a721eb2943e49677a9f6479980a2
D4	40	U07-0000000097_S08-0000000163	20	C0Rect2Set	false	true	true	true	-0x1.f3e4841f14bf9p-36	-0x1.f387277743e1fp-36	-0x1.f3e4841f14bf9p-36	-0x1.f387277743e1fp-36	true	true	ab19a1392df057b007d957091d8b501f08d5a8d94e55755d6926a316effdea52
