thread,step,c5,kappa,sigma_kappa,trace,anisotropy,escape
1056,4,-0.037108,65523.634107,147171.129487,8265692.949295,1.026266,no
1321,4,-0.033873,65525.694316,147357.349425,-624987831.234932,1252.995062,no
1585,4,-0.030649,65527.136337,147525.456648,-1139087626.576424,1101.972537,no
1849,4,-0.027426,65529.021338,147678.117042,1036183801.651001,987.498045,no
2113,4,-0.024203,65529.808735,147812.062141,-6481408401.250839,6218.719894,no
2378,4,-0.020968,65531.796772,147932.185193,3182492310.881615,6152.978215,no
2642,4,-0.017745,65534.050912,148035.931570,3334718284.964561,6298.448269,no
2906,4,-0.014522,65533.690897,148118.439864,-6467606259.942055,6185.993411,no
3170,4,-0.011299,65534.307852,148185.952339,3278175300.598145,6534.802323,no
3434,4,-0.008076,65535.392616,148237.699155,6554901415.228844,6247.692162,no
3699,4,-0.004841,65535.858561,148272.157520,6541254849.076271,6232.468360,no
3963,4,-0.001618,65536.901633,148290.478459,-3267983793.973923,6248.182311,no
4227,4,0.001605,65536.880365,148290.478459,8062250.494957,2.648787,no
4491,4,0.004828,65535.794830,148272.157516,26532249.569893,18.332102,no
4756,4,0.008064,65535.286125,148237.699136,6585251068.830490,6276.644063,no
5020,4,0.011287,65534.159505,148185.952287,-6488802703.261375,6201.883336,no
5284,4,0.014510,65533.499166,148118.439754,-6467672259.688377,6186.056465,no
5548,4,0.017733,65533.816640,148035.931369,6527827285.170555,6234.775376,no
5812,4,0.020956,65531.523062,147932.184863,87015514.612198,76.318606,no
6077,4,0.024191,65530.000030,147812.640443,8331602.692604,1.045279,no
6341,4,0.027414,65528.659420,147678.116296,-1019026201.725006,985.032018,no
6605,4,0.030637,65526.731981,147525.455608,8292369.484901,1.030038,no
6869,4,0.033860,65525.247552,147357.348019,-3206182830.929756,6364.272337,no
7134,4,0.037096,65523.144813,147171.127637,1393715693.116188,1337.644028,no
7398,4,0.040319,65520.012479,146967.499943,1511990309.715271,1454.850153,no
7662,4,0.043542,65517.283723,146748.370952,-5528893699.765205,6150.262172,no
7926,4,0.046765,65515.458844,146514.540555,-4569623824.119568,4445.882081,no
8191,4,0.050000,65513.161402,146262.963220,936074653.506279,1838.381639,no
0,8,-0.050000,115147764627999992839230372407521907783718716542164673022859476165671646134272.000000,nan,nan,0.000000,YES
264,8,-0.046777,115230259473999992502654784345681536605003084187179354635244335752031661719552.000000,nan,nan,0.000000,YES
528,8,-0.043554,115279763399999988100071028704515833563917875855167694219763461357274147061760.000000,nan,nan,0.000000,YES
792,8,-0.040331,115355211831250006419624644300382078348356339385779486177808546222992326131712.000000,nan,nan,0.000000,YES
1056,8,-0.037108,115441585900160012678451615549417049801817711522060924338530558749662366400512.000000,nan,nan,0.000000,YES
1321,8,-0.033873,115500103711608414152776164134137363976256135749514258930803593845396369047552.000000,nan,nan,0.000000,YES
1585,8,-0.030649,115541555402810011088832448258006143878930663902764577960112574812189962010624.000000,nan,nan,0.000000,YES
1849,8,-0.027426,115592953645000001912147007067013789312124355634900429052114226682701572734976.000000,nan,nan,0.000000,YES
2113,8,-0.024203,115616593381000007691561474031515619778383253536014668593610731060770101002240.000000,nan,nan,0.000000,YES
2378,8,-0.020968,115672114820000008425970155501798310908248408259492130102951650487151125069824.000000,nan,nan,0.000000,YES
2642,8,-0.017745,115737031719999991721834963948877856181845100164840536865352333296854947069952.000000,nan,nan,0.000000,YES
2906,8,-0.014522,115727793804999982499439728568881625002552175482215091275800755405192469413888.000000,nan,nan,0.000000,YES
3170,8,-0.011299,115745148441000014803253735154780035392082315494615309292674226347341386874880.000000,nan,nan,0.000000,YES
3434,8,-0.008076,115772037050000002816193819903594029075760274161193813590393708428069873647616.000000,nan,nan,0.000000,YES
3699,8,-0.004841,115788743253090009080973744300872075736242337448590387220689453330414050476032.000000,nan,nan,0.000000,YES
3963,8,-0.001618,115819186391809988820395465969612753723410916758872498875174229127611893678080.000000,nan,nan,0.000000,YES
