LEAF_ID	U_DEPTH	U_INDEX	S_DEPTH	S_INDEX	STATUS	METHOD	CERTIFICATE_PASS	SUBDIVISION_REQUIRED	INPUT_SHA256	LEAF_CHALLENGE	RECEIPT_SHA256	VERIFICATION_SHA256	PHYSICAL_SHA256	WORKER_RC	ELAPSED_MS
U12-0000003072_S12-0000003072	12	3072	12	3072	SUBDIVISION_REQUIRED	NONE	false	true	c0b804a283bac1742c43cec4d07ca058e6371198fd39ba8585b208da70cdaeb8	825fce932c11cb457ca544b4a9bd01d9352b4deb5bb984527917ba0ed4798bbf	597437e306dc9bf437b3eb1cf204c697f02750b7edc831d86f4439a6ad11f8af	aaa658e91de82cd04ea345e958e0563a20773962a1fc4f788759286a816f1d59	c2c32baddab58c83a7d2427d79c1d913cfc2eede5129025a5df0b5e1258f19e1	0	39303
U12-0000003072_S16-0000016384	12	3072	16	16384	SUBDIVISION_REQUIRED	NONE	false	true	490df889010a08974fcaa6b30e28d0b6931a2c89660cceb33e8e628af24e7d4b	fa5fdbeec5d1f4dad5b79ba6eee681526849dda0208bd02e7b166009fb68c91a	fa77ff1f5947a16a9f6d58b0c2447ac1e29ce3f932246772305297f4337747ef	aa219d6b29a6f7316a702d8a76555ea7dc084b2f53dd4697ba21a40e3bdcadfb	2cb3d897d4dc56d6d94600eaea2b13247b40fd9075b5f342180b54d0ba2a1c44	0	35895
U12-0000003072_S16-0000049152	12	3072	16	49152	SUBDIVISION_REQUIRED	NONE	false	true	e9237e572f3a9a6595d83421a950e2e19c2a4685ab310506f78de821b2a5d538	6a7acb854a1039d39c43e22beeb98441a7f619c24d3ff99b2edf0e3f9e1ebe43	4b592af781a5e49fe264d46b77da32ad27fbe1bf49d0a5da517dd369207766b2	7259e4a3c14d9b74e92fa4887d6d0d80c1f8c45eac450d6de2100ba1fdc1234f	8d0d2eaa81685a787011aea9b7dd22bb65e43af75dfcdfd10678c7141c21519c	0	39389
U14-0000004096_S14-0000004096	14	4096	14	4096	CERTIFIED	AFFINE	true	false	e236499e55afb3d12d34271944434e07d4882a67dc96213220e109c990a6aeb5	ecfda4e2522a2bece185cb85de96de543914c97894cabd4be0b81e42b4b83709	f671a39ee80bfa99fb1b35023b15fc07286868f546cc45143a4a9f8c020b344d	b816822582ea7e9000e37c4e0d16704c706b3d5292deb8eb7bde74d60c599083	97e14e289b8b33224cdb3e277845785cdad4ae2ad0cab5a1c0923c81153122bf	0	37298
U14-0000004096_S14-0000012288	14	4096	14	12288	CERTIFIED	AFFINE	true	false	e685e88375d9f3761a36e2e715c718388c542462a61658720190697b751532de	cb6af53cb98f557d9ab9f3eeb2c8c046429e7a43035ec09c17dbc927ee9f5b0b	48e2223a82aa5e585b3bf6125200670084e52ceb11236ab0ebd09015bd833952	f3fd54d3df26ba0e490887a2bc298414cbbd72a5e5bc9e63f8de4e840c5a2da3	37dadc88953d32e429370dd77c17dbc958c94c5a24bdc3570e3fc131fb0ef84c	0	39699
U14-0000012288_S14-0000004096	14	12288	14	4096	CERTIFIED	AFFINE	true	false	6bcc40d901b2539ab36580622c5a0cc5d101c8cde08d1ed355ef5ff913c348fa	9c32d2bb569d46eb47204b9a2cf16e1a53854d904f65db617c890b8941431584	478ed353215f7c5d9556094688342ad42de934ebdfa5522fcc2c56bb29193ebc	87d0aec02702d5cdbc396af7745b16fb3b45ddd41216f17576f388737895b92d	14561585c211f777cfb646737eef928d757d3076d407e388132167433849b9d5	0	39102
U14-0000012288_S14-0000012288	14	12288	14	12288	CERTIFIED	AFFINE	true	false	84dc32a7f87fe5258559beae90c32f70e6235c903d2538964495fef075cf2692	55a69a200c40c2fc13a96b32de9a582c6d34d9173caa98c6d654286361842a97	6c36f7e45916c585c6da37de74c224428fc3ca96914fe03d1d87f8ea9e6c29e1	70211a467980e883c73cfc97d3ff0217e9ec0a05dac7ce5a4c79ddf798fb1a93	19148e7929a6956111825bb9af7d26645d38cc7608ee37f54fe36e536c20e431	0	39899
U15-0000008192_S15-0000008192	15	8192	15	8192	CERTIFIED	AFFINE	true	false	cb0aa8736b584d9e59b9256a82edf4cffb4c5572dbe932af2dfda71f8344cb44	194bd154e9475bc30b70b386c2ff2bd45c6b374fce65d8fd1a3f212756f42bcb	1d9d7e3bf9634f16335ceff78c5d2c6b63468c10a32d611c9cd38ccbbf79f53e	bd0f11564ea2e448373a3af78ec22e558bb9d1940f04ef24cd975cef0374851b	c35f0aec63b517efded69979ade5bcbf31b1d6ee37fb66e6362f996ed7db2bfd	0	38914
U15-0000008192_S15-0000024576	15	8192	15	24576	CERTIFIED	AFFINE	true	false	a92fb890ce63f2a8a76033ae11d472d5afb4260eaa2f75ab4c8563dbc189c39c	dc3ddde56bc1669fe9995f9fe66f632766bfbf9fe1a7494aad109fdae31d4a44	04f1f43b83728bee2be3fb9e8d0934db469cf2b0871371362625234de677a858	9b12380a80f7f7d24ceb6203adb362a9a59628c869dc810613244e5f04ec6c6c	88422ce37cc1f14fbbaa6104b733482e5ad5ee2e12bf2354868a03ab8b5002a3	0	35598
U15-0000024576_S15-0000008192	15	24576	15	8192	CERTIFIED	AFFINE	true	false	83fb2d04216945eaa28536abb8e16579e2985abc0b2042bc6f40db5631b08ea7	43ad4d5e71b7d38600293a4bf1ff41c86af5a80d88d597916d22e648572684a9	876996d9932f664766e31aa21385d61704b9610060f70880c22f0d3be45a84cb	1479075a132087f9265fc77a0076c8ebaa41b33bf61581ae844c5131dab64a8b	2651619a7358591bf6765141ba8b032f73a423d83b2e9256ac43940c28bd8959	0	34712
U15-0000024576_S15-0000024576	15	24576	15	24576	CERTIFIED	AFFINE	true	false	883de504d0c36c42321f9f47d651e44139f871a703cd4671b5d129605a679986	d3c25a4b9460882f4cd37a223ccdb0a1d252e3e411ddb5baedd71c82959fd2f1	fc60d779ec1dac54e04a2559680a0fd9c3231e28f9fdbf707f84bcae81bb8a96	b36f49d83c05e62feff4a82215eced11b47ded4a8902c8cc301ac3a84facb855	91570484d18062996d179eefeb4a94d987982d002f15ddadadcc1d07a33d1601	0	39201
U16-0000016384_S12-0000001024	16	16384	12	1024	SUBDIVISION_REQUIRED	NONE	false	true	0371d8d86067aea24d1eddebf14d267bfe90445b396fade88fa238246d675e67	6d296a1d14dd8146788ad7f52ca9fc4a768b136f5c7a0446b85263fef9867da8	db9b8294c841070b0e5b41f82cb2bf47093973b2fd615a850ed52cc54735e24f	ae327621e2c008c21096c77b77289ae20f095501c248ff2bc283ca6ce65aae7e	c5893bed7e034edefd5442f00934c0d7d91e61edbaf4e672f79739d5253bb1b1	0	40697
U16-0000016384_S12-0000003072	16	16384	12	3072	SUBDIVISION_REQUIRED	NONE	false	true	461b4ac0132c0d8fbeacbd7737728cf44b13680cf809c2ef58a1407670c9924a	9832e64b34723e59fa9a245b6bc13126d9e65330a0aee89a3834c064339e3de0	fe2dc0764672daa3381bb44c91a6f6ae18121432b676ab8f7d54409e504ab85c	e430c384fc3b95b913127e3f2fb69bc6761e8ae59834ed9f80939e9170dd01c6	e287ccf3f0f5d5605d46ed58cdf0a0b82367af08dc04653a812c911a5e033d3c	0	35910
U16-0000049152_S12-0000001024	16	49152	12	1024	SUBDIVISION_REQUIRED	NONE	false	true	97830a18ffe3f46614d7cd79dafbfc6588c312a753c2c66db1967df3e2618211	4f894e05e9c3e3c2576c4efd58f2fce7d2af8552015cfa7659bc0bb64b5a4749	dc6640100fdbafa1734893666608407afd6932d6402a5fe144a20a8a6dabddae	88253c9717bfe923f860482e19fac04566e7dee1d5910825aa9247518b7d729b	d81998baa307384eea1587f21e915610eb65c7df474e9fbd2a1a8f56f61d4131	0	38799
U16-0000049152_S12-0000003072	16	49152	12	3072	SUBDIVISION_REQUIRED	NONE	false	true	df9b1caf45714a44303bd2a7d62005deaf339928c780b1f35fba4a4204acdedb	165a860049ffbbe6c989a3d1c4a7c6d386aefbe070d4ee668685b65fd7c30ebc	480e25d0e3b884a78001a6fcd77b483ba6bccbd200f3add5d1afc206a0cf05d4	a80b7caaa3fd10d487a68227a84e012801fbad4b290b23f9dac04436b621bd42	8a7d3c56eff6fb8a698b4d92ef8139154377f1dc5142281fae410167438abd7f	0	36797
